"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","404","4/17/2011 12:00:00 AM","424000.00","Active","0.00",""
"","135","2/22/2012 12:00:00 AM","449000.00","Active","",""
"","59","3/10/2012 12:00:00 AM","513533.00","Active","",""
"","106","3/13/2012 12:00:00 AM","599900.00","Active","",""
"","39","5/28/2012 12:00:00 AM","599900.00","Active","",""
"4/24/2012 12:00:00 AM","30","3/21/2012 12:00:00 AM","419900.00","Sold","422000.00","4/19/2012 12:00:00 AM"
"6/7/2012 12:00:00 AM","48","3/22/2012 12:00:00 AM","449900.00","Sold","438000.00","4/25/2012 12:00:00 AM"
"4/30/2012 12:00:00 AM","30","3/15/2012 12:00:00 AM","449000.00","Sold","440000.00","4/12/2012 12:00:00 AM"
"7/6/2012 12:00:00 AM","360","6/3/2011 12:00:00 AM","549000.00","Sold","490000.00","6/1/2012 12:00:00 AM"
"9/19/2011 12:00:00 AM","126","4/14/2011 12:00:00 AM","585000.00","Sold","500000.00","8/18/2011 12:00:00 AM"
"5/31/2012 12:00:00 AM","219","11/1/2011 12:00:00 AM","539900.00","Sold","505000.00","5/25/2012 12:00:00 AM"
"7/11/2011 12:00:00 AM","202","12/18/2010 12:00:00 AM","539000.00","Sold","550000.00","7/8/2011 12:00:00 AM"
"6/28/2012 12:00:00 AM","42","5/11/2012 12:00:00 AM","574900.00","Sold","564000.00","5/26/2012 12:00:00 AM"
"3/16/2012 12:00:00 AM","39","1/2/2012 12:00:00 AM","589000.00","Sold","589000.00","2/24/2012 12:00:00 AM"
"","64","5/7/2012 12:00:00 AM","579000.00","Withdrawn","",""
