"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"Webster Groves","MO","Eldridge ","122","63119","89","","Full","1.00","7","St Louis","None","7","Cash","1","Gas","GSTL","30000.00","","Bank","33575.00","4/27/2012 12:00:00 AM","33575.00","Cash","Sold","4/30/2012 1:50:06 PM","2.00","3/28/2012 12:00:00 AM"
"Webster Groves","MO","Marshall","728","63119","74","0","Partially Finished","1.00","122","St Louis","Central-Electric","122","Conventional","0","Gas","GSTL","59900.00","","Bank","51000.00","1/2/2012 12:00:00 AM","51000.00","Cash, Conventional","Sold","1/2/2012 12:00:00 AM","2.00","8/17/2011 12:00:00 AM"
"Webster Groves","MO","Greeley","304","63119","106","0","8 ft + pour","2.00","207","St Louis","Central-Electric","207","Cash","0","Gas","GSTL","75000.00","","Private","63000.00","4/9/2012 12:00:00 AM","63000.00","Cash, Conventional","Sold","4/10/2012 7:28:05 AM","3.00","9/15/2011 12:00:00 AM"
"Webster Groves","MO","Marshall","660","63119","85","0","Full","1.00","82","St Louis","Other","82","Conventional","1","Gas","GSTL","69900.00","","Bank","65000.00","8/22/2011 12:00:00 AM","65000.00","Cash, Conventional","Sold","8/22/2011 12:00:00 AM","3.00","4/28/2011 12:00:00 AM"
"Webster Groves","MO","Forest","834","63119","49","0","Slab","1.00","90","St Louis","Central-Electric","90","Cash","0","Gas","GSTL","64900.00","","Bank","65000.00","3/26/2012 12:00:00 AM","65000.00","Cash, Conventional, Other","Sold","3/29/2012 10:52:06 AM","2.00","12/12/2011 12:00:00 AM"
"Webster Groves","MO","Almentor","206","63119","25","0","Full","3.00","47","St Louis","Central-Electric","47","Cash","2","Gas","GSTL","84900.00","","Bank","80000.00","4/5/2012 12:00:00 AM","80000.00","Cash, Conventional","Sold","4/6/2012 11:11:06 AM","4.00","12/16/2011 12:00:00 AM"
"Webster Groves","MO","Marshall","437","63119","57","","None","1.00","3","St Louis","Central-Electric","3","Conventional","0","Gas","GSTL","90000.00","","Private","81000.00","5/22/2012 12:00:00 AM","81000.00","Cash, Conventional, FHA","Sold","5/22/2012 5:29:33 PM","2.00","5/11/2012 12:00:00 AM"
"Webster Groves","MO","Arbor","322","63119","76","0","8 ft + pour, Partial","2.00","28","St Louis","Central-Electric","28","Cash","0","Gas","GSTL","110000.00","","Private","85000.00","1/27/2012 12:00:00 AM","85000.00","Cash","Sold","1/29/2012 5:46:25 PM","3.00","11/1/2011 12:00:00 AM"
"Webster Groves","MO","Madison","346","63119","57","0","Full, Partially Finished","1.00","287","St Louis","Central-Electric","61","Conventional","0","Gas","GSTL","99000.00","","Private","93000.00","12/30/2011 12:00:00 AM","93000.00","Cash, Conventional, FHA","Sold","1/3/2012 12:00:00 AM","3.00","10/19/2011 12:00:00 AM"
"Webster Groves","MO","College","107","63119","55","0","Full","2.00","66","St Louis","Central-Electric","66","FHA","1","Gas","GSTL","109900.00","","Bank","109900.00","2/15/2012 12:00:00 AM","109900.00","Conventional, FHA, Seller May Pay SmCls, VA","Sold","2/20/2012 10:13:47 AM","3.00","11/18/2011 12:00:00 AM"
"Webster Groves","MO","Marshall","862","63119","48","0","Full, Partially Finished","2.00","57","St Louis","Central-Electric","57","Conventional","1","Gas","GSTL","114500.00","","Private","111000.00","4/16/2012 12:00:00 AM","111000.00","Cash, Conventional, FHA, VA","Sold","4/18/2012 10:11:01 AM","2.00","1/13/2012 12:00:00 AM"
"Webster Groves","MO","Oak","12","63119","100","0","Full, Walk-Out","2.00","2","St Louis","1 Window/Wall, None","2","Other","0","Gas","GSTL","60000.00","","Private","114552.00","7/27/2011 12:00:00 AM","114552.00","Cash, Conventional","Sold","7/29/2011 12:00:00 AM","3.00","6/18/2011 12:00:00 AM"
"Webster Groves","MO","Alma","439","63119","100","0","Full, Stone/Rock, Walk-Out","2.00","4","St Louis","Central-Electric","4","Cash","2","Gas","GSTL","94900.00","","Private","116500.00","12/15/2011 12:00:00 AM","116500.00","Cash, Conventional","Sold","12/19/2011 12:00:00 AM","4.00","10/25/2011 12:00:00 AM"
"Webster Groves","MO","Jackson","136","63119","88","0","Full, Walk-Out","1.00","161","St Louis","Central-Electric","161","Cash","2","Gas","GSTL","117000.00","","Private","117000.00","7/17/2011 12:00:00 AM","117000.00","Cash, Conventional","Sold","7/21/2011 12:00:00 AM","3.00","1/17/2011 12:00:00 AM"
"Webster Groves","MO","Corona","305","63119","62","0","8 ft + pour, Full, Partially Finished, Rec/Family Area, Sump Pit/Pump","1.00","152","St Louis","Central-Electric","152","FHA","0","Gas","GSTL","129900.00","","Private","128500.00","6/29/2012 12:00:00 AM","128500.00","Cash, Conventional, FHA, VA","Sold","6/29/2012 4:40:51 PM","2.00","1/22/2012 12:00:00 AM"
"Webster Groves","MO","Kirkham","137","63119","85","0","8 ft + pour, Sump Pit/Pump, Stone/Rock","1.00","149","St Louis","Central-Electric","149","FHA","0","Gas","GSTL","140000.00","","Private","138500.00","4/5/2012 12:00:00 AM","138500.00","Cash, Conventional, FHA, VA","Sold","4/10/2012 4:34:45 PM","3.00","11/3/2011 12:00:00 AM"
"Webster Groves","MO","Jackson","30","63119","88","0","Full","1.00","60","St Louis","Central-Electric","60","Other","0","Gas","GSTL","159900.00","","Private","145000.00","12/6/2011 12:00:00 AM","145000.00","Cash, Conventional","Sold","12/7/2011 12:00:00 AM","3.00","6/29/2011 12:00:00 AM"
"Webster Groves","MO","Maple","40","63119","58","0","Full, Poured Concrete, Rec/Family Area, Sump Pit/Pump","2.00","84","St Louis","Ceiling Fan, Central-Electric","84","Conventional","1","Gas","GSTL","159900.00","","Private","145000.00","1/11/2012 12:00:00 AM","145000.00","Conventional","Sold","1/13/2012 11:47:32 AM","1.00","10/6/2011 12:00:00 AM"
"Webster Groves","MO","Kirkham","135","63119","69","0","Full","1.00","6","St Louis","Central-Electric","6","Conventional","1","Gas","GSTL","149900.00","","Private","146000.00","2/29/2012 12:00:00 AM","146000.00","Cash, Conventional, Seller May Pay SmCls","Sold","2/29/2012 5:15:27 PM","2.00","1/4/2012 12:00:00 AM"
"Webster Groves","MO","College","123","63119","71","0","Full, Walk-Out","2.00","125","St Louis","Central-Electric","34","Conventional","1","Gas","GSTL","148500.00","","Private","146500.00","8/31/2011 12:00:00 AM","146500.00","Cash, Conventional","Sold","8/31/2011 12:00:00 AM","2.00","7/7/2011 12:00:00 AM"
"Webster Groves","MO","Elm","103","63119","55","0","Full, Poured Concrete, Rec/Family Area, Sump Pit/Pump","2.00","19","St Louis","Ceiling Fan, Central-Electric","19","Conventional","0","Gas","GSTL","149000.00","","Private","147000.00","9/28/2011 12:00:00 AM","147000.00","Cash, Conventional","Sold","9/29/2011 12:00:00 AM","2.00","8/7/2011 12:00:00 AM"
"Webster Groves","MO","SIMMONS","338","63119","61","","None","3.00","32","St Louis","Central-Electric","32","Conventional","0","Other","GSTL","167500.00","","Bank","157500.00","6/19/2012 12:00:00 AM","157500.00","Cash, Conventional","Sold","6/20/2012 1:56:21 PM","3.00","4/12/2012 12:00:00 AM"
"Webster Groves","MO","Summit","533","63119","63","0","Full, Poured Concrete, Roughed-In Fireplace","1.00","109","St Louis","Ceiling Fan, Central-Electric","109","Cash","1","Gas","GSTL","159900.00","","Private","158000.00","9/30/2011 12:00:00 AM","158000.00","Cash, Conventional, FHA, VA","Sold","10/6/2011 12:00:00 AM","2.00","4/21/2011 12:00:00 AM"
"Webster Groves","MO","Frisco","113","63119","86","0","Concrete Block, Poured Concrete","2.00","65","St Louis","Ceiling Fan, Central-Electric, Zoned","65","Other","0","Gas","GSTL","169900.00","","Private","160000.00","7/14/2011 12:00:00 AM","160000.00","Cash, Conventional, FHA","Sold","7/18/2011 12:00:00 AM","3.00","4/24/2011 12:00:00 AM"
"Webster Groves","MO","Lockwood","513","63119","124","0","Full","2.00","189","St Louis","Central-Electric","189","Cash","0","Gas","GSTL","184900.00","","Private","160000.00","1/9/2012 12:00:00 AM","160000.00","Cash, Conventional","Sold","1/19/2012 9:55:49 PM","3.00","7/12/2011 12:00:00 AM"
