"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"4/27/2012 12:00:00 AM","7","3/28/2012 12:00:00 AM","30000.00","Sold","33575.00","4/5/2012 12:00:00 AM"
"1/2/2012 12:00:00 AM","122","8/17/2011 12:00:00 AM","59900.00","Sold","51000.00","12/19/2011 12:00:00 AM"
"4/9/2012 12:00:00 AM","207","9/15/2011 12:00:00 AM","75000.00","Sold","63000.00","4/9/2012 12:00:00 AM"
"8/22/2011 12:00:00 AM","82","4/28/2011 12:00:00 AM","69900.00","Sold","65000.00","7/20/2011 12:00:00 AM"
"3/26/2012 12:00:00 AM","90","12/12/2011 12:00:00 AM","64900.00","Sold","65000.00","3/11/2012 12:00:00 AM"
"4/5/2012 12:00:00 AM","47","12/16/2011 12:00:00 AM","84900.00","Sold","80000.00","3/14/2012 12:00:00 AM"
"5/22/2012 12:00:00 AM","3","5/11/2012 12:00:00 AM","90000.00","Sold","81000.00","5/14/2012 12:00:00 AM"
"1/27/2012 12:00:00 AM","28","11/1/2011 12:00:00 AM","110000.00","Sold","85000.00","1/17/2012 12:00:00 AM"
"12/30/2011 12:00:00 AM","61","10/19/2011 12:00:00 AM","99000.00","Sold","93000.00","12/20/2011 12:00:00 AM"
"2/15/2012 12:00:00 AM","66","11/18/2011 12:00:00 AM","109900.00","Sold","109900.00","12/30/2011 12:00:00 AM"
"4/16/2012 12:00:00 AM","57","1/13/2012 12:00:00 AM","114500.00","Sold","111000.00","3/1/2012 12:00:00 AM"
"7/27/2011 12:00:00 AM","2","6/18/2011 12:00:00 AM","60000.00","Sold","114552.00","6/20/2011 12:00:00 AM"
"12/15/2011 12:00:00 AM","4","10/25/2011 12:00:00 AM","94900.00","Sold","116500.00","10/29/2011 12:00:00 AM"
"7/17/2011 12:00:00 AM","161","1/17/2011 12:00:00 AM","117000.00","Sold","117000.00","6/27/2011 12:00:00 AM"
"6/29/2012 12:00:00 AM","152","1/22/2012 12:00:00 AM","129900.00","Sold","128500.00","6/22/2012 12:00:00 AM"
"4/5/2012 12:00:00 AM","149","11/3/2011 12:00:00 AM","140000.00","Sold","138500.00","2/18/2012 12:00:00 AM"
"12/6/2011 12:00:00 AM","60","6/29/2011 12:00:00 AM","159900.00","Sold","145000.00","11/21/2011 12:00:00 AM"
"1/11/2012 12:00:00 AM","84","10/6/2011 12:00:00 AM","159900.00","Sold","145000.00","12/29/2011 12:00:00 AM"
"2/29/2012 12:00:00 AM","6","1/4/2012 12:00:00 AM","149900.00","Sold","146000.00","1/17/2012 12:00:00 AM"
"8/31/2011 12:00:00 AM","34","7/7/2011 12:00:00 AM","148500.00","Sold","146500.00","8/11/2011 12:00:00 AM"
"9/28/2011 12:00:00 AM","19","8/7/2011 12:00:00 AM","149000.00","Sold","147000.00","8/27/2011 12:00:00 AM"
"6/19/2012 12:00:00 AM","32","4/12/2012 12:00:00 AM","167500.00","Sold","157500.00","5/15/2012 12:00:00 AM"
"9/30/2011 12:00:00 AM","109","4/21/2011 12:00:00 AM","159900.00","Sold","158000.00","8/25/2011 12:00:00 AM"
"7/14/2011 12:00:00 AM","65","4/24/2011 12:00:00 AM","169900.00","Sold","160000.00","6/30/2011 12:00:00 AM"
"1/9/2012 12:00:00 AM","189","7/12/2011 12:00:00 AM","184900.00","Sold","160000.00","1/9/2012 12:00:00 AM"
"2/28/2012 12:00:00 AM","180","8/3/2011 12:00:00 AM","164800.00","Sold","162000.00","1/30/2012 12:00:00 AM"
"7/25/2011 12:00:00 AM","334","6/25/2010 12:00:00 AM","169900.00","Sold","162700.00","6/13/2011 12:00:00 AM"
"7/15/2011 12:00:00 AM","33","5/19/2011 12:00:00 AM","170000.00","Sold","165000.00","6/22/2011 12:00:00 AM"
"4/20/2012 12:00:00 AM","50","1/1/2012 12:00:00 AM","173000.00","Sold","166500.00","2/20/2012 12:00:00 AM"
"7/19/2011 12:00:00 AM","50","5/11/2011 12:00:00 AM","185000.00","Sold","172500.00","7/1/2011 12:00:00 AM"
"6/21/2012 12:00:00 AM","262","7/26/2011 12:00:00 AM","189000.00","Sold","173000.00","5/8/2012 12:00:00 AM"
"9/28/2011 12:00:00 AM","155","4/11/2011 12:00:00 AM","175000.00","Sold","175000.00","9/13/2011 12:00:00 AM"
