"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","50","5/15/2012 12:00:00 AM","115000.00","Active","",""
"","63","5/1/2012 12:00:00 AM","135000.00","Active","",""
"3/19/2012 12:00:00 AM","98","11/22/2011 12:00:00 AM","99900.00","Sold","94000.00","3/1/2012 12:00:00 AM"
"7/27/2011 12:00:00 AM","167","12/23/2010 12:00:00 AM","90000.00","Sold","95000.00","6/20/2011 12:00:00 AM"
"6/5/2012 12:00:00 AM","3","5/2/2012 12:00:00 AM","82500.00","Sold","105000.00","5/5/2012 12:00:00 AM"
"3/20/2012 12:00:00 AM","38","1/18/2012 12:00:00 AM","111500.00","Sold","106500.00","2/26/2012 12:00:00 AM"
"3/15/2012 12:00:00 AM","59","12/13/2011 12:00:00 AM","114500.00","Sold","110000.00","2/10/2012 12:00:00 AM"
"10/3/2011 12:00:00 AM","74","6/17/2011 12:00:00 AM","117100.00","Sold","112000.00","8/31/2011 12:00:00 AM"
"9/23/2011 12:00:00 AM","82","6/14/2011 12:00:00 AM","122500.00","Sold","116000.00","9/7/2011 12:00:00 AM"
"3/22/2012 12:00:00 AM","281","6/15/2011 12:00:00 AM","129900.00","Sold","120000.00","3/22/2012 12:00:00 AM"
"6/27/2012 12:00:00 AM","33","4/25/2012 12:00:00 AM","129900.00","Sold","120000.00","5/25/2012 12:00:00 AM"
"3/9/2012 12:00:00 AM","39","1/4/2012 12:00:00 AM","129900.00","Sold","124000.00","2/11/2012 12:00:00 AM"
"4/20/2012 12:00:00 AM","139","12/6/2011 12:00:00 AM","130000.00","Sold","125000.00","4/18/2012 12:00:00 AM"
"4/20/2012 12:00:00 AM","46","1/26/2012 12:00:00 AM","125900.00","Sold","125000.00","3/12/2012 12:00:00 AM"
"11/15/2011 12:00:00 AM","60","8/25/2011 12:00:00 AM","127900.00","Sold","125900.00","11/12/2011 12:00:00 AM"
