"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"4/18/2012 12:00:00 AM","52","2/13/2012 12:00:00 AM","55900.00","Sold","54900.00","4/5/2012 12:00:00 AM"
"10/14/2011 12:00:00 AM","50","7/26/2011 12:00:00 AM","119900.00","Sold","110000.00","9/15/2011 12:00:00 AM"
"4/19/2012 12:00:00 AM","200","10/4/2011 12:00:00 AM","134900.00","Sold","135000.00","4/16/2012 12:00:00 AM"
"3/8/2012 12:00:00 AM","268","6/13/2011 12:00:00 AM","225000.00","Sold","200000.00","3/8/2012 12:00:00 AM"
"2/23/2012 12:00:00 AM","93","10/10/2011 12:00:00 AM","259000.00","Sold","250000.00","1/9/2012 12:00:00 AM"
"7/12/2011 12:00:00 AM","37","6/1/2011 12:00:00 AM","299000.00","Sold","280000.00","7/12/2011 12:00:00 AM"
"4/27/2012 12:00:00 AM","11","3/8/2012 12:00:00 AM","50000.00","Sold","46000.00","3/19/2012 12:00:00 AM"
"6/29/2012 12:00:00 AM","29","4/2/2012 12:00:00 AM","50000.00","Sold","47150.00","5/23/2012 12:00:00 AM"
"10/25/2011 12:00:00 AM","111","6/16/2011 12:00:00 AM","52900.00","Sold","49000.00","10/6/2011 12:00:00 AM"
"5/24/2012 12:00:00 AM","24","4/2/2012 12:00:00 AM","50000.00","Sold","51175.00","4/27/2012 12:00:00 AM"
"3/15/2012 12:00:00 AM","127","10/10/2011 12:00:00 AM","54900.00","Sold","53500.00","3/12/2012 12:00:00 AM"
"5/31/2012 12:00:00 AM","166","10/3/2011 12:00:00 AM","74000.00","Sold","56500.00","3/22/2012 12:00:00 AM"
"2/10/2012 12:00:00 AM","27","12/12/2011 12:00:00 AM","65700.00","Sold","60199.00","1/9/2012 12:00:00 AM"
"4/5/2012 12:00:00 AM","39","1/20/2012 12:00:00 AM","62600.00","Sold","62000.00","2/27/2012 12:00:00 AM"
