"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"2/20/2012 12:00:00 AM","94","11/11/2011 12:00:00 AM","6500.00","Sold","382.00","2/2/2012 12:00:00 AM"
"5/7/2012 12:00:00 AM","54","3/8/2012 12:00:00 AM","3570.49","Sold","505.00","5/1/2012 12:00:00 AM"
"7/29/2011 12:00:00 AM","32","6/13/2011 12:00:00 AM","900.00","Sold","792.00","7/15/2011 12:00:00 AM"
"5/31/2012 12:00:00 AM","29","2/10/2012 12:00:00 AM","500.00","Sold","800.00","4/27/2012 12:00:00 AM"
"10/26/2011 12:00:00 AM","106","5/6/2011 12:00:00 AM","1500.00","Sold","1200.00","9/27/2011 12:00:00 AM"
"12/28/2011 12:00:00 AM","85","9/26/2011 12:00:00 AM","2900.00","Sold","2500.00","12/20/2011 12:00:00 AM"
"3/9/2012 12:00:00 AM","62","9/12/2011 12:00:00 AM","3240.00","Sold","2800.00","2/13/2012 12:00:00 AM"
"9/29/2011 12:00:00 AM","16","8/31/2011 12:00:00 AM","3000.00","Sold","3000.00","9/17/2011 12:00:00 AM"
"4/17/2012 12:00:00 AM","7","2/9/2012 12:00:00 AM","3200.00","Sold","3200.00","2/16/2012 12:00:00 AM"
"5/11/2012 12:00:00 AM","155","11/16/2011 12:00:00 AM","3777.00","Sold","3400.00","4/26/2012 12:00:00 AM"
"8/8/2011 12:00:00 AM","196","12/22/2010 12:00:00 AM","4000.00","Sold","3500.00","7/11/2011 12:00:00 AM"
"8/26/2011 12:00:00 AM","19","4/26/2011 12:00:00 AM","3500.00","Sold","3500.00","5/17/2011 12:00:00 AM"
"2/24/2012 12:00:00 AM","211","7/21/2011 12:00:00 AM","5900.00","Sold","3500.00","2/22/2012 12:00:00 AM"
"1/19/2012 12:00:00 AM","68","11/9/2011 12:00:00 AM","3500.00","Sold","3500.00","1/19/2012 12:00:00 AM"
"2/17/2012 12:00:00 AM","26","1/17/2012 12:00:00 AM","6500.00","Sold","3750.00","2/13/2012 12:00:00 AM"
