"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","28","5/30/2012 12:00:00 AM","23900.00","Active","",""
"","22","6/4/2012 12:00:00 AM","24900.00","Active","",""
"","30","5/25/1942 12:00:00 AM","65000.00","Active","",""
"8/31/2011 12:00:00 AM","60","5/27/2011 12:00:00 AM","18900.00","Sold","16000.00","7/26/2011 12:00:00 AM"
"1/31/2012 12:00:00 AM","54","11/30/2011 12:00:00 AM","23900.00","Sold","18000.00","1/23/2012 12:00:00 AM"
"10/11/2011 12:00:00 AM","225","11/29/2010 12:00:00 AM","19900.00","Sold","18101.00","9/19/2011 12:00:00 AM"
"4/30/2012 12:00:00 AM","45","2/28/2012 12:00:00 AM","20900.00","Sold","19500.00","4/13/2012 12:00:00 AM"
"1/18/2012 12:00:00 AM","5","12/22/2011 12:00:00 AM","9900.00","Sold","19750.00","12/28/2011 12:00:00 AM"
"6/13/2012 12:00:00 AM","28","4/28/2012 12:00:00 AM","17500.00","Sold","20107.00","5/26/2012 12:00:00 AM"
"11/10/2011 12:00:00 AM","50","4/20/2011 12:00:00 AM","24500.00","Sold","24000.00","6/9/2011 12:00:00 AM"
"1/17/2012 12:00:00 AM","6","12/14/2011 12:00:00 AM","24900.00","Sold","25000.00","12/21/2011 12:00:00 AM"
"11/8/2011 12:00:00 AM","6","8/19/2011 12:00:00 AM","29900.00","Sold","29900.00","8/25/2011 12:00:00 AM"
"10/4/2011 12:00:00 AM","15","9/8/2011 12:00:00 AM","38900.00","Sold","34900.00","9/23/2011 12:00:00 AM"
