"St Ann","MO","Saint Robert","10416","63074","63","0","Full, Partially Finished, Poured Concrete, Rec/Family Area","2.00","43","St Louis","Central-Electric","43","Conventional","1","Gas","GSTL","114999.00","","Private","112500.00","8/5/2011 12:00:00 AM","112500.00","Cash, Conventional, FHA, VA","Sold","8/18/2011 12:00:00 AM","3.00","5/23/2011 12:00:00 AM"
"St Louis","MO","Tennyson","2813","63114","73","0","Full","1.00","110","St Louis","Other","110","Cash","0","Gas","GSTL","10000.00","","Bank","9500.00","11/18/2011 12:00:00 AM","9500.00","Cash","Sold","11/23/2011 12:00:00 AM","3.00","7/28/2011 12:00:00 AM"
"St Louis","MO","Midland","9601","63114","65","0","Space/Crawl or Other","1.00","74","St Louis","Central-Electric","74","Cash","0","Gas","GSTL","9500.00","","Bank","9500.00","12/23/2011 12:00:00 AM","9500.00","Cash, Conventional","Sold","12/29/2011 12:00:00 AM","3.00","9/19/2011 12:00:00 AM"
"St Louis","MO","Bristol","9419","63114","79","","Full, Walk-Out","1.00","27","St Louis","Central-Electric","27","Cash","0","Gas","GSTL","7900.00","","Bank","10150.00","4/6/2012 12:00:00 AM","10150.00","Cash, Conventional","Sold","4/11/2012 10:06:32 AM","2.00","2/9/2012 12:00:00 AM"
"St Louis","MO","Tudor","9436","63114","84","0","None","1.00","19","St Louis","Central-Electric","4","Cash","0","Gas","GSTL","11000.00","","Bank","11550.00","11/16/2011 12:00:00 AM","11550.00","Cash, Conventional","Sold","11/17/2011 12:00:00 AM","2.00","10/7/2011 12:00:00 AM"
"Overland","MO","Pasteur","2715","63114","87","0","Full","1.00","21","St Louis","Other","21","Cash","0","Other","GSTL","12900.00","","Bank","12000.00","1/4/2012 12:00:00 AM","12000.00","Cash, Conventional","Sold","1/5/2012 12:00:00 AM","1.00","11/14/2011 12:00:00 AM"
"Breckenridge Hills","MO","Baltimore","9682","63114","60","0","Space/Crawl or Other","1.00","22","St Louis","Central-Electric","22","Cash","2","Gas","GSTL","29900.00","","Private","12000.00","2/3/2012 12:00:00 AM","12000.00","Cash, Conventional","Sold","2/8/2012 7:34:05 PM","2.00","1/1/2011 12:00:00 AM"
"St Louis","MO","ANNAPOLIS","2802","63114","64","","Full, Walk-Out","1.00","46","St Louis","Other","46","Cash","0","Other","GSTL","8000.00","","Government","12000.00","3/30/2012 12:00:00 AM","12000.00","Cash","Sold","4/3/2012 12:51:04 PM","2.00","2/17/2012 12:00:00 AM"
"St Louis","MO","Airway","3024","63114","82","0","Full","1.00","112","St Louis","Other","112","Cash","1","Other","GSTL","15000.00","","Bank","12200.00","12/16/2011 12:00:00 AM","12200.00","Cash, Conventional","Sold","12/22/2011 12:00:00 AM","2.00","8/9/2011 12:00:00 AM"
"Breckenridge Hills","MO","Foster","9715","63114","91","0","Full, Walk-Out","2.00","116","St Louis","Central-Electric","116","Cash","0","Gas","GSTL","18200.00","","Private","12500.00","4/12/2012 12:00:00 AM","12500.00","Cash, Conventional","Sold","4/19/2012 4:34:19 PM","3.00","11/18/2011 12:00:00 AM"
