"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"8/5/2011 12:00:00 AM","43","5/23/2011 12:00:00 AM","114999.00","Sold","112500.00","7/5/2011 12:00:00 AM"
"11/18/2011 12:00:00 AM","110","7/28/2011 12:00:00 AM","10000.00","Sold","9500.00","11/16/2011 12:00:00 AM"
"12/23/2011 12:00:00 AM","74","9/19/2011 12:00:00 AM","9500.00","Sold","9500.00","12/2/2011 12:00:00 AM"
"4/6/2012 12:00:00 AM","27","2/9/2012 12:00:00 AM","7900.00","Sold","10150.00","3/7/2012 12:00:00 AM"
"11/16/2011 12:00:00 AM","4","10/7/2011 12:00:00 AM","11000.00","Sold","11550.00","10/11/2011 12:00:00 AM"
"1/4/2012 12:00:00 AM","21","11/14/2011 12:00:00 AM","12900.00","Sold","12000.00","12/6/2011 12:00:00 AM"
"2/3/2012 12:00:00 AM","22","1/1/2011 12:00:00 AM","29900.00","Sold","12000.00","1/23/2012 12:00:00 AM"
"3/30/2012 12:00:00 AM","46","2/17/2012 12:00:00 AM","8000.00","Sold","12000.00","3/29/2012 12:00:00 AM"
"12/16/2011 12:00:00 AM","112","8/9/2011 12:00:00 AM","15000.00","Sold","12200.00","11/30/2011 12:00:00 AM"
"4/12/2012 12:00:00 AM","116","11/18/2011 12:00:00 AM","18200.00","Sold","12500.00","3/13/2012 12:00:00 AM"
"9/15/2011 12:00:00 AM","55","7/7/2011 12:00:00 AM","12500.00","Sold","12800.00","9/1/2011 12:00:00 AM"
"8/15/2011 12:00:00 AM","35","6/20/2011 12:00:00 AM","18900.00","Sold","14500.00","7/29/2011 12:00:00 AM"
"7/21/2011 12:00:00 AM","30","5/23/2011 12:00:00 AM","30000.00","Sold","15000.00","6/22/2011 12:00:00 AM"
"8/31/2011 12:00:00 AM","60","5/27/2011 12:00:00 AM","18900.00","Sold","16000.00","7/26/2011 12:00:00 AM"
"6/21/2012 12:00:00 AM","35","3/7/2012 12:00:00 AM","14999.00","Sold","16200.00","5/19/2012 12:00:00 AM"
"1/30/2012 12:00:00 AM","9","11/25/2011 12:00:00 AM","14500.00","Sold","16500.00","12/12/2011 12:00:00 AM"
"11/16/2011 12:00:00 AM","90","4/25/2011 12:00:00 AM","14900.00","Sold","17200.00","11/4/2011 12:00:00 AM"
"1/31/2012 12:00:00 AM","54","11/30/2011 12:00:00 AM","23900.00","Sold","18000.00","1/23/2012 12:00:00 AM"
"10/11/2011 12:00:00 AM","225","11/29/2010 12:00:00 AM","19900.00","Sold","18101.00","9/19/2011 12:00:00 AM"
"2/3/2012 12:00:00 AM","69","11/12/2011 12:00:00 AM","24900.00","Sold","19000.00","1/23/2012 12:00:00 AM"
"4/30/2012 12:00:00 AM","45","2/28/2012 12:00:00 AM","20900.00","Sold","19500.00","4/13/2012 12:00:00 AM"
"1/18/2012 12:00:00 AM","5","12/22/2011 12:00:00 AM","9900.00","Sold","19750.00","12/28/2011 12:00:00 AM"
"2/10/2012 12:00:00 AM","125","9/22/2011 12:00:00 AM","29900.00","Sold","20000.00","1/25/2012 12:00:00 AM"
"12/30/2011 12:00:00 AM","1","12/17/2011 12:00:00 AM","19900.00","Sold","20000.00","12/19/2011 12:00:00 AM"
"6/13/2012 12:00:00 AM","28","4/28/2012 12:00:00 AM","17500.00","Sold","20107.00","5/26/2012 12:00:00 AM"
"7/8/2011 12:00:00 AM","88","3/18/2011 12:00:00 AM","25000.00","Sold","20500.00","6/17/2011 12:00:00 AM"
"4/3/2012 12:00:00 AM","688","4/12/2010 12:00:00 AM","25500.00","Sold","21000.00","3/24/2012 12:00:00 AM"
"9/6/2011 12:00:00 AM","28","7/19/2011 12:00:00 AM","22900.00","Sold","22000.00","8/17/2011 12:00:00 AM"
"6/7/2012 12:00:00 AM","53","3/22/2012 12:00:00 AM","26500.00","Sold","22000.00","5/15/2012 12:00:00 AM"
"5/3/2012 12:00:00 AM","16","4/17/2012 12:00:00 AM","29900.00","Sold","22500.00","5/3/2012 12:00:00 AM"
"1/27/2012 12:00:00 AM","2","12/21/2011 12:00:00 AM","21000.00","Sold","23210.00","12/23/2011 12:00:00 AM"
"11/10/2011 12:00:00 AM","50","4/20/2011 12:00:00 AM","24500.00","Sold","24000.00","6/9/2011 12:00:00 AM"
"4/26/2012 12:00:00 AM","39","1/21/2012 12:00:00 AM","23900.00","Sold","24000.00","4/11/2012 12:00:00 AM"
"10/10/2011 12:00:00 AM","38","8/25/2011 12:00:00 AM","49900.00","Sold","25000.00","10/10/2011 12:00:00 AM"
"1/17/2012 12:00:00 AM","6","12/14/2011 12:00:00 AM","24900.00","Sold","25000.00","12/21/2011 12:00:00 AM"
"9/21/2011 12:00:00 AM","188","12/16/2010 12:00:00 AM","21700.00","Sold","25100.00","6/29/2011 12:00:00 AM"
"11/3/2011 12:00:00 AM","7","9/20/2011 12:00:00 AM","25000.00","Sold","26000.00","10/11/2011 12:00:00 AM"
