"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","37","5/24/2012 12:00:00 AM","6500.00","Active","",""
"","206","9/14/2011 12:00:00 AM","6900.00","Active","0.00",""
"","59","5/2/2012 12:00:00 AM","10000.00","Active","",""
"","58","5/2/2012 12:00:00 AM","10000.00","Active","",""
"","77","4/5/2012 12:00:00 AM","12000.00","Active","",""
"","320","8/15/2011 12:00:00 AM","16000.00","Active","0.00",""
"","22","6/8/2012 12:00:00 AM","28500.00","Active","",""
"9/30/2011 12:00:00 AM","214","12/22/2010 12:00:00 AM","5000.00","Sold","5000.00","8/4/2011 12:00:00 AM"
"7/29/2011 12:00:00 AM","51","5/23/2011 12:00:00 AM","5600.00","Sold","5600.00","7/14/2011 12:00:00 AM"
"11/21/2011 12:00:00 AM","7","10/25/2011 12:00:00 AM","5900.00","Sold","6000.00","11/2/2011 12:00:00 AM"
"9/13/2011 12:00:00 AM","79","6/16/2011 12:00:00 AM","12000.00","Sold","7000.00","9/3/2011 12:00:00 AM"
"7/29/2011 12:00:00 AM","44","6/13/2011 12:00:00 AM","9900.00","Sold","9000.00","7/27/2011 12:00:00 AM"
"9/27/2011 12:00:00 AM","67","6/13/2011 12:00:00 AM","10000.00","Sold","9000.00","9/9/2011 12:00:00 AM"
"8/19/2011 12:00:00 AM","46","2/11/2011 12:00:00 AM","10000.00","Sold","11500.00","6/15/2011 12:00:00 AM"
"5/24/2012 12:00:00 AM","10","4/10/2012 12:00:00 AM","6000.00","Sold","17100.00","5/3/2012 12:00:00 AM"
