"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"5/7/2012 12:00:00 AM","54","3/8/2012 12:00:00 AM","3570.49","Sold","505.00","5/1/2012 12:00:00 AM"
"5/31/2012 12:00:00 AM","29","2/10/2012 12:00:00 AM","500.00","Sold","800.00","4/27/2012 12:00:00 AM"
"3/9/2012 12:00:00 AM","62","9/12/2011 12:00:00 AM","3240.00","Sold","2800.00","2/13/2012 12:00:00 AM"
"8/26/2011 12:00:00 AM","19","4/26/2011 12:00:00 AM","3500.00","Sold","3500.00","5/17/2011 12:00:00 AM"
"1/19/2012 12:00:00 AM","140","7/20/2011 12:00:00 AM","3700.00","Sold","3700.00","12/7/2011 12:00:00 AM"
"2/17/2012 12:00:00 AM","26","1/17/2012 12:00:00 AM","6500.00","Sold","3750.00","2/13/2012 12:00:00 AM"
"9/2/2011 12:00:00 AM","32","7/11/2011 12:00:00 AM","4900.00","Sold","4900.00","8/12/2011 12:00:00 AM"
"9/30/2011 12:00:00 AM","214","12/22/2010 12:00:00 AM","5000.00","Sold","5000.00","8/4/2011 12:00:00 AM"
"7/29/2011 12:00:00 AM","51","5/23/2011 12:00:00 AM","5600.00","Sold","5600.00","7/14/2011 12:00:00 AM"
"7/29/2011 12:00:00 AM","110","12/22/2010 12:00:00 AM","6600.00","Sold","6000.00","6/17/2011 12:00:00 AM"
"8/30/2011 12:00:00 AM","48","7/7/2011 12:00:00 AM","11900.00","Sold","6000.00","8/24/2011 12:00:00 AM"
"11/21/2011 12:00:00 AM","7","10/25/2011 12:00:00 AM","5900.00","Sold","6000.00","11/2/2011 12:00:00 AM"
"9/13/2011 12:00:00 AM","79","6/16/2011 12:00:00 AM","12000.00","Sold","7000.00","9/3/2011 12:00:00 AM"
"3/12/2012 12:00:00 AM","4","11/7/2011 12:00:00 AM","4000.00","Sold","8699.00","11/11/2011 12:00:00 AM"
"7/29/2011 12:00:00 AM","44","6/13/2011 12:00:00 AM","9900.00","Sold","9000.00","7/27/2011 12:00:00 AM"
"9/27/2011 12:00:00 AM","67","6/13/2011 12:00:00 AM","10000.00","Sold","9000.00","9/9/2011 12:00:00 AM"
"6/29/2012 12:00:00 AM","35","5/9/2012 12:00:00 AM","9000.00","Sold","9000.00","6/13/2012 12:00:00 AM"
"10/26/2011 12:00:00 AM","182","9/22/2010 12:00:00 AM","14950.00","Sold","10000.00","4/4/2011 12:00:00 AM"
"8/19/2011 12:00:00 AM","46","2/11/2011 12:00:00 AM","10000.00","Sold","11500.00","6/15/2011 12:00:00 AM"
"5/24/2012 12:00:00 AM","10","4/10/2012 12:00:00 AM","6000.00","Sold","17100.00","5/3/2012 12:00:00 AM"
"1/26/2012 12:00:00 AM","12","11/26/2011 12:00:00 AM","46500.00","Sold","44000.00","12/9/2011 12:00:00 AM"
