"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"5/17/2011 12:00:00 AM","41","3/18/2011 12:00:00 AM","24500.00","Sold","19000.00","4/28/2011 12:00:00 AM"
"7/12/2011 12:00:00 AM","61","5/6/2011 12:00:00 AM","79500.00","Sold","72000.00","7/6/2011 12:00:00 AM"
"12/17/2010 12:00:00 AM","135","8/3/2010 12:00:00 AM","123900.00","Sold","123900.00","12/16/2010 12:00:00 AM"
"7/29/2011 12:00:00 AM","80","3/19/2011 12:00:00 AM","139900.00","Sold","125500.00","6/10/2011 12:00:00 AM"
"11/23/2011 12:00:00 AM","147","6/2/2011 12:00:00 AM","129900.00","Sold","130800.00","10/27/2011 12:00:00 AM"
"4/12/2011 12:00:00 AM","85","1/11/2011 12:00:00 AM","150000.00","Sold","135000.00","4/8/2011 12:00:00 AM"
"8/9/2011 12:00:00 AM","400","6/4/2010 12:00:00 AM","144900.00","Sold","138900.00","8/2/2011 12:00:00 AM"
"5/16/2011 12:00:00 AM","141","12/22/2010 12:00:00 AM","142000.00","Sold","142900.00","5/13/2011 12:00:00 AM"
"11/17/2011 12:00:00 AM","143","6/22/2011 12:00:00 AM","159000.00","Sold","157000.00","11/16/2011 12:00:00 AM"
"4/20/2011 12:00:00 AM","68","1/28/2011 12:00:00 AM","319000.00","Sold","305000.00","4/9/2011 12:00:00 AM"
"8/26/2011 12:00:00 AM","44","7/11/2011 12:00:00 AM","27900.00","Sold","20900.00","8/25/2011 12:00:00 AM"
"5/27/2011 12:00:00 AM","189","10/29/2010 12:00:00 AM","89900.00","Sold","89000.00","5/27/2011 12:00:00 AM"
"10/18/2011 12:00:00 AM","118","5/16/2011 12:00:00 AM","58900.00","Sold","57000.00","9/12/2011 12:00:00 AM"
"5/12/2011 12:00:00 AM","45","2/15/2011 12:00:00 AM","74900.00","Sold","67000.00","4/9/2011 12:00:00 AM"
"5/20/2011 12:00:00 AM","39","4/8/2011 12:00:00 AM","109900.00","Sold","98000.00","5/17/2011 12:00:00 AM"
"4/25/2011 12:00:00 AM","26","2/23/2011 12:00:00 AM","49900.00","Sold","50156.00","3/23/2011 12:00:00 AM"
"12/9/2011 12:00:00 AM","102","8/29/2011 12:00:00 AM","85000.00","Sold","83000.00","12/9/2011 12:00:00 AM"
"3/31/2011 12:00:00 AM","78","12/5/2010 12:00:00 AM","76900.00","Sold","70000.00","2/22/2011 12:00:00 AM"
"3/4/2011 12:00:00 AM","127","10/25/2010 12:00:00 AM","79000.00","Sold","76000.00","3/3/2011 12:00:00 AM"
