"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","15","6/13/2012 12:00:00 AM","24500.00","Active","",""
"","74","4/13/2012 12:00:00 AM","39900.00","Active","",""
"","174","1/5/2012 12:00:00 AM","24900.00","Active","0.00",""
"","49","5/10/2012 12:00:00 AM","29100.00","Active","",""
"","318","8/12/2011 12:00:00 AM","30000.00","Active","0.00",""
"","49","5/10/2012 12:00:00 AM","39900.00","Active","",""
"10/17/2011 12:00:00 AM","5","8/22/2011 12:00:00 AM","10000.00","Sold","18000.00","8/29/2011 12:00:00 AM"
"6/6/2012 12:00:00 AM","83","2/29/2012 12:00:00 AM","23900.00","Sold","18000.00","5/22/2012 12:00:00 AM"
"9/14/2011 12:00:00 AM","48","7/14/2011 12:00:00 AM","29900.00","Sold","21000.00","8/31/2011 12:00:00 AM"
"3/5/2012 12:00:00 AM","43","12/6/2011 12:00:00 AM","25000.00","Sold","22000.00","1/18/2012 12:00:00 AM"
"1/13/2012 12:00:00 AM","16","12/11/2011 12:00:00 AM","22000.00","Sold","22000.00","12/28/2011 12:00:00 AM"
"5/18/2012 12:00:00 AM","279","8/13/2011 12:00:00 AM","24900.00","Sold","23500.00","5/16/2012 12:00:00 AM"
"2/29/2012 12:00:00 AM","48","12/29/2011 12:00:00 AM","23500.00","Sold","24100.00","2/15/2012 12:00:00 AM"
