"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"10/7/2011 12:00:00 AM","13","8/19/2011 12:00:00 AM","9900.00","Sold","9900.00","9/1/2011 12:00:00 AM"
"10/11/2011 12:00:00 AM","39","8/13/2011 12:00:00 AM","14000.00","Sold","14000.00","9/21/2011 12:00:00 AM"
"4/23/2012 12:00:00 AM","191","8/18/2011 12:00:00 AM","29100.00","Sold","27540.00","3/19/2012 12:00:00 AM"
"9/26/2011 12:00:00 AM","74","3/25/2011 12:00:00 AM","2000.00","Sold","3515.00","6/8/2011 12:00:00 AM"
"11/18/2011 12:00:00 AM","20","9/29/2011 12:00:00 AM","8000.00","Sold","4000.00","10/19/2011 12:00:00 AM"
"8/16/2011 12:00:00 AM","5","7/5/2011 12:00:00 AM","6500.00","Sold","5000.00","7/11/2011 12:00:00 AM"
"10/28/2011 12:00:00 AM","243","1/28/2011 12:00:00 AM","10700.00","Sold","5350.00","9/29/2011 12:00:00 AM"
"11/3/2011 12:00:00 AM","14","8/19/2011 12:00:00 AM","8500.00","Sold","7890.00","9/8/2011 12:00:00 AM"
"1/12/2012 12:00:00 AM","0","1/12/2012 12:00:00 AM","9900.00","Sold","8000.00","1/12/2012 12:00:00 AM"
"2/21/2012 12:00:00 AM","228","3/22/2011 12:00:00 AM","14900.00","Sold","9000.00","1/23/2012 12:00:00 AM"
"4/10/2012 12:00:00 AM","6","2/21/2012 12:00:00 AM","5000.00","Sold","9500.00","2/27/2012 12:00:00 AM"
"4/9/2012 12:00:00 AM","253","7/18/2011 12:00:00 AM","12000.00","Sold","10000.00","3/29/2012 12:00:00 AM"
"6/14/2012 12:00:00 AM","37","4/13/2012 12:00:00 AM","11500.00","Sold","11000.00","5/24/2012 12:00:00 AM"
"2/24/2012 12:00:00 AM","217","7/27/2011 12:00:00 AM","17900.00","Sold","12000.00","2/15/2012 12:00:00 AM"
"4/9/2012 12:00:00 AM","8","3/7/2012 12:00:00 AM","9900.00","Sold","12011.00","3/22/2012 12:00:00 AM"
"5/14/2012 12:00:00 AM","127","11/28/2011 12:00:00 AM","20000.00","Sold","13000.00","4/5/2012 12:00:00 AM"
"4/25/2012 12:00:00 AM","65","1/31/2012 12:00:00 AM","12900.00","Sold","13800.00","4/10/2012 12:00:00 AM"
"3/28/2012 12:00:00 AM","77","1/3/2012 12:00:00 AM","24900.00","Sold","14000.00","3/21/2012 12:00:00 AM"
"11/1/2011 12:00:00 AM","19","10/5/2011 12:00:00 AM","14400.00","Sold","14200.00","10/25/2011 12:00:00 AM"
"3/16/2012 12:00:00 AM","32","1/19/2012 12:00:00 AM","16000.00","Sold","14500.00","2/20/2012 12:00:00 AM"
"4/30/2012 12:00:00 AM","76","2/6/2012 12:00:00 AM","17000.00","Sold","14500.00","4/23/2012 12:00:00 AM"
"1/5/2012 12:00:00 AM","81","9/14/2011 12:00:00 AM","19000.00","Sold","16500.00","12/6/2011 12:00:00 AM"
"10/17/2011 12:00:00 AM","43","8/15/2011 12:00:00 AM","20950.00","Sold","17000.00","9/27/2011 12:00:00 AM"
