"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","127","2/21/2012 12:00:00 AM","33900.00","Active","",""
"","299","9/2/2011 12:00:00 AM","39900.00","Active","0.00",""
"","51","5/7/2012 12:00:00 AM","45000.00","Active","",""
"","34","5/24/2012 12:00:00 AM","49000.00","Active","",""
"4/5/2012 12:00:00 AM","59","11/11/2011 12:00:00 AM","21500.00","Sold","20000.00","2/20/2012 12:00:00 AM"
"1/23/2012 12:00:00 AM","13","12/2/2011 12:00:00 AM","17900.00","Sold","21000.00","12/15/2011 12:00:00 AM"
"4/20/2012 12:00:00 AM","8","3/2/2012 12:00:00 AM","22000.00","Sold","22000.00","3/16/2012 12:00:00 AM"
"12/15/2011 12:00:00 AM","5","10/26/2011 12:00:00 AM","20500.00","Sold","23100.00","11/4/2011 12:00:00 AM"
"9/8/2011 12:00:00 AM","36","11/22/2010 12:00:00 AM","29900.00","Sold","23500.00","8/22/2011 12:00:00 AM"
"2/17/2012 12:00:00 AM","48","12/8/2011 12:00:00 AM","24900.00","Sold","25000.00","1/25/2012 12:00:00 AM"
"5/25/2012 12:00:00 AM","31","1/3/2012 12:00:00 AM","32000.00","Sold","28500.00","3/14/2012 12:00:00 AM"
"9/28/2011 12:00:00 AM","86","6/21/2011 12:00:00 AM","25000.00","Sold","31500.00","9/16/2011 12:00:00 AM"
"2/23/2012 12:00:00 AM","257","5/18/2011 12:00:00 AM","39900.00","Sold","35000.00","2/1/2012 12:00:00 AM"
"5/15/2012 12:00:00 AM","70","2/20/2012 12:00:00 AM","42900.00","Sold","35500.00","4/30/2012 12:00:00 AM"
"7/20/2011 12:00:00 AM","53","3/21/2011 12:00:00 AM","44900.00","Sold","36000.00","7/5/2011 12:00:00 AM"
"5/10/2012 12:00:00 AM","312","5/23/2011 12:00:00 AM","42900.00","Sold","36500.00","3/29/2012 12:00:00 AM"
"6/21/2012 12:00:00 AM","42","3/31/2012 12:00:00 AM","42000.00","Sold","38000.00","5/14/2012 12:00:00 AM"
