"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"8/30/2011 12:00:00 AM","42","7/5/2011 12:00:00 AM","8500.00","Sold","5500.00","8/17/2011 12:00:00 AM"
"3/2/2012 12:00:00 AM","87","11/8/2011 12:00:00 AM","14500.00","Sold","8600.00","2/4/2012 12:00:00 AM"
"6/15/2012 12:00:00 AM","34","4/13/2012 12:00:00 AM","12000.00","Sold","11000.00","5/24/2012 12:00:00 AM"
"10/31/2011 12:00:00 AM","134","2/26/2011 12:00:00 AM","12800.00","Sold","13395.00","9/13/2011 12:00:00 AM"
"11/18/2011 12:00:00 AM","66","9/2/2011 12:00:00 AM","19900.00","Sold","15000.00","11/7/2011 12:00:00 AM"
"7/21/2011 12:00:00 AM","14","6/28/2011 12:00:00 AM","29900.00","Sold","17500.00","7/13/2011 12:00:00 AM"
"4/9/2012 12:00:00 AM","173","9/28/2011 12:00:00 AM","25000.00","Sold","18100.00","3/20/2012 12:00:00 AM"
"8/29/2011 12:00:00 AM","81","5/20/2011 12:00:00 AM","29900.00","Sold","18500.00","8/9/2011 12:00:00 AM"
"1/13/2012 12:00:00 AM","57","8/22/2011 12:00:00 AM","29900.00","Sold","19300.00","10/31/2011 12:00:00 AM"
"4/5/2012 12:00:00 AM","59","11/11/2011 12:00:00 AM","21500.00","Sold","20000.00","2/20/2012 12:00:00 AM"
"11/11/2011 12:00:00 AM","28","9/27/2011 12:00:00 AM","18900.00","Sold","20200.00","10/26/2011 12:00:00 AM"
"1/23/2012 12:00:00 AM","13","12/2/2011 12:00:00 AM","17900.00","Sold","21000.00","12/15/2011 12:00:00 AM"
"9/28/2011 12:00:00 AM","150","4/5/2011 12:00:00 AM","28000.00","Sold","22000.00","9/2/2011 12:00:00 AM"
"4/20/2012 12:00:00 AM","8","3/2/2012 12:00:00 AM","22000.00","Sold","22000.00","3/16/2012 12:00:00 AM"
"6/15/2012 12:00:00 AM","61","3/9/2012 12:00:00 AM","24900.00","Sold","22000.00","5/9/2012 12:00:00 AM"
"4/19/2012 12:00:00 AM","13","3/20/2012 12:00:00 AM","27000.00","Sold","22199.00","4/1/2012 12:00:00 AM"
"11/28/2011 12:00:00 AM","20","7/6/2011 12:00:00 AM","26900.00","Sold","22800.00","11/8/2011 12:00:00 AM"
"12/15/2011 12:00:00 AM","5","10/26/2011 12:00:00 AM","20500.00","Sold","23100.00","11/4/2011 12:00:00 AM"
"6/12/2012 12:00:00 AM","17","4/14/2012 12:00:00 AM","24000.00","Sold","23100.00","5/1/2012 12:00:00 AM"
"9/8/2011 12:00:00 AM","36","11/22/2010 12:00:00 AM","29900.00","Sold","23500.00","8/22/2011 12:00:00 AM"
"3/27/2012 12:00:00 AM","123","11/3/2011 12:00:00 AM","34900.00","Sold","25000.00","3/5/2012 12:00:00 AM"
