"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","28","6/12/2012 12:00:00 AM","129900.00","Active","",""
"","1281","1/6/2009 12:00:00 AM","148900.00","Active","0.00",""
"","96","3/27/2012 12:00:00 AM","149900.00","Active","",""
"","111","3/20/2012 12:00:00 AM","154900.00","Active","",""
"","463","4/4/2011 12:00:00 AM","163900.00","Active","0.00",""
"","79","4/22/2012 12:00:00 AM","164900.00","Active","",""
"8/10/2011 12:00:00 AM","5","6/16/2011 12:00:00 AM","97900.00","Sold","109475.00","6/22/2011 12:00:00 AM"
"6/8/2012 12:00:00 AM","25","5/10/2012 12:00:00 AM","125000.00","Sold","125450.00","6/4/2012 12:00:00 AM"
"11/29/2011 12:00:00 AM","30","9/23/2011 12:00:00 AM","134900.00","Sold","132000.00","10/27/2011 12:00:00 AM"
"6/18/2012 12:00:00 AM","48","4/23/2012 12:00:00 AM","146300.00","Sold","147000.00","6/12/2012 12:00:00 AM"
"7/10/2012 12:00:00 AM","88","2/27/2012 12:00:00 AM","159900.00","Sold","157000.00","5/25/2012 12:00:00 AM"
"2/22/2012 12:00:00 AM","161","9/14/2011 12:00:00 AM","153254.00","Sold","157500.00","2/22/2012 12:00:00 AM"
"4/5/2012 12:00:00 AM","0","12/6/2011 12:00:00 AM","159104.00","Sold","159879.00","12/7/2011 12:00:00 AM"
"6/5/2012 12:00:00 AM","50","4/16/2012 12:00:00 AM","159900.00","Sold","159900.00","6/1/2012 12:00:00 AM"
"6/4/2012 12:00:00 AM","278","8/24/2011 12:00:00 AM","163000.00","Sold","160000.00","5/25/2012 12:00:00 AM"
