"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"Imperial","MO","4 Ridge","3539","63052","40","","Full, Partially Finished, Walk-Out","1.00","50","Jefferson","Central-Electric","50","Cash","0","Electric","GSTL","54900.00","","Private","52000.00","4/13/2012 12:00:00 AM","52000.00","Cash, Conventional, FHA","Sold","4/20/2012 9:58:43 AM","3.00","10/25/2011 12:00:00 AM"
"Imperial","MO","Meadow","5026","63052","62","","Bathroom in LL, 8 ft + pour, Full, Rec/Family Area, Sleeping Area, Walk-Out","2.00","44","Jefferson","Ceiling Fan, Central-Electric","44","Cash","0","Propane","GSTL","89900.00","","Private","74000.00","6/5/2012 12:00:00 AM","74000.00","Cash, Conventional, FHA","Sold","6/8/2012 10:59:53 AM","2.00","3/29/2012 12:00:00 AM"
"Imperial","MO","Old Lemay Ferry","5514","63052","43","0","Bathroom in LL, Full, Partially Finished, Poured Concrete, Walk-Out","2.00","25","Jefferson","Central-Electric","25","Conventional","2","Electric","GSTL","80500.00","Milton & Mary's ranch","Private","75000.00","10/19/2011 12:00:00 AM","75000.00","Cash, Conventional","Sold","10/19/2011 12:00:00 AM","2.00","8/17/2011 12:00:00 AM"
"Imperial","MO","Roads End Acre","3625","63052","51","0","Space/Crawl or Other","2.00","120","Jefferson","Central-Electric","120","FHA","1","Gas","GSTL","82861.00","","Bank","82881.00","8/30/2011 12:00:00 AM","82881.00","Cash, Conventional","Sold","9/1/2011 12:00:00 AM","3.00","1/6/2011 12:00:00 AM"
"Imperial","MO","TROLLEY CROSSING","2414","63052","10","0","Full, Walk-Out","2.00","90","Jefferson","Central-Electric","90","FHA","2","Electric","GSTL","95000.00","","Government","97500.00","11/3/2011 12:00:00 AM","97500.00","Cash, Conventional, FHA","Sold","11/7/2011 12:00:00 AM","3.00","3/10/2011 12:00:00 AM"
"Imperial","MO","Cannery","2410","63052","19","0","Partially Finished, Rec/Family Area, Roughed-In Bath, Walk-Out","2.00","65","Jefferson","Ceiling Fan, Central-Electric","65","FHA","2","Electric","GSTL","109900.00","","Bank","107000.00","11/8/2011 12:00:00 AM","107000.00","Cash, Conventional, FHA, VA","Sold","11/8/2011 12:00:00 AM","3.00","8/9/2011 12:00:00 AM"
"Imperial","MO","Kneff","5901","63052","9","0","Space/Crawl or Other","2.00","5","Jefferson","Central-Electric","5","FHA","2","Electric","GSTL","97900.00","","Bank","109475.00","8/10/2011 12:00:00 AM","109475.00","Cash, Conventional","Sold","8/11/2011 12:00:00 AM","3.00","6/16/2011 12:00:00 AM"
"Imperial","MO","Golden Gate","2506","63052","17","0","Bathroom in LL, Rec/Family Area","2.00","190","Jefferson","Ceiling Fan, Central-Electric","90","Cash","2","Gas","GSTL","119900.00","","Private","109500.00","7/6/2012 12:00:00 AM","109500.00","Cash, Conventional, FHA, VA","Sold","7/6/2012 10:08:42 AM","2.00","3/13/2012 12:00:00 AM"
"Imperial","MO","Valley Oaks","3114","63052","8","0","8 ft + pour, Partially Finished, Partial, Rec/Family Area","2.00","49","Jefferson","Central-Electric","49","Conventional","2","Gas","GSTL","120000.00","","Government","111710.00","3/27/2012 12:00:00 AM","111710.00","Cash, Conventional, FHA","Sold","3/28/2012 7:36:10 AM","3.00","11/26/2011 12:00:00 AM"
"Imperial","MO","Valley Oaks","3012","63052","8","200","Partially Finished, Rec/Family Area, Sleeping Area","2.00","142","Jefferson","Ceiling Fan, Central-Electric","142","FHA","2","Gas","GSTL","112000.00","","Private","115500.00","2/28/2012 12:00:00 AM","115500.00","Cash, Conventional, FHA, VA","Sold","2/29/2012 11:25:20 AM","3.00","10/10/2011 12:00:00 AM"
