"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","23","6/12/2012 12:00:00 AM","53000.00","Active","",""
"","99","4/2/2012 12:00:00 AM","74900.00","Active","",""
"","137","2/20/2012 12:00:00 AM","84900.00","Active","",""
"","29","6/11/2012 12:00:00 AM","89900.00","Active","",""
"3/5/2012 12:00:00 AM","242","12/10/2010 12:00:00 AM","86900.00","Sold","39000.00","8/9/2011 12:00:00 AM"
"2/3/2012 12:00:00 AM","6","10/31/2011 12:00:00 AM","36000.00","Sold","39200.00","11/9/2011 12:00:00 AM"
"2/24/2012 12:00:00 AM","12","1/12/2012 12:00:00 AM","44550.00","Sold","52000.00","1/24/2012 12:00:00 AM"
"3/26/2012 12:00:00 AM","21","2/6/2012 12:00:00 AM","76125.00","Sold","52000.00","3/7/2012 12:00:00 AM"
"2/27/2012 12:00:00 AM","14","1/27/2012 12:00:00 AM","49900.00","Sold","53000.00","2/13/2012 12:00:00 AM"
"3/20/2012 12:00:00 AM","33","11/29/2011 12:00:00 AM","70000.00","Sold","59000.00","1/3/2012 12:00:00 AM"
"8/26/2011 12:00:00 AM","129","4/6/2011 12:00:00 AM","84900.00","Sold","76000.00","8/13/2011 12:00:00 AM"
