"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"St Louis","MO","Pernod","6625","63139","71","0","Bathroom in LL, 8 ft + pour, Fireplace in LL, Full, Poured Concrete, Sump Pit/Pump","3.00","15","St Louis City","Central-Electric","15","Conventional","2","Gas","GSTL","199000.00","","Owner by Contract","193000.00","6/6/2012 12:00:00 AM","193000.00","Cash, FHA","Sold","6/6/2012 7:22:11 AM","3.00","8/1/2011 12:00:00 AM"
"St Louis","MO","Wyoming","6220","63139","1953","","None","1.00","57","St Louis City","Central-Electric","57","Cash","2","Gas","GSTL","29900.00","","Bank","28500.00","6/29/2012 12:00:00 AM","28500.00","Cash","Sold","7/3/2012 1:15:57 PM","4.00","1/12/2012 12:00:00 AM"
"St Louis","MO","Pernod","7008","63139","89","0","Full, Partially Finished, Sleeping Area","1.00","97","St Louis City","Central-Electric","97","Cash","2","Gas","GSTL","35500.00","","Government","30000.00","1/10/2012 12:00:00 AM","30000.00","Cash, Conventional","Sold","1/10/2012 2:29:02 PM","2.00","9/12/2011 12:00:00 AM"
"St Louis","MO","Marquette","6814","63139","86","0","Full","1.00","10","St Louis City","None","10","Cash","1","Gas","GSTL","19800.00","","Bank","30101.00","2/16/2012 12:00:00 AM","30101.00","Cash, Conventional","Sold","2/24/2012 8:46:38 AM","3.00","10/24/2011 12:00:00 AM"
"St Louis","MO","BANCROFT","7020","63109","80","0","Full","1.00","25","St Louis City","Other","25","Cash","0","Gas","GSTL","39000.00","","Bank","35000.00","10/28/2011 12:00:00 AM","35000.00","Cash, Conventional","Sold","10/28/2011 12:00:00 AM","1.00","9/22/2011 12:00:00 AM"
"St Louis","MO","Lindenwood","7090","63109","62","0","Full","1.00","31","St Louis City","1 Window/Wall, None","31","Cash","1","Gas","GSTL","38000.00","","Bank","35000.00","3/19/2012 12:00:00 AM","35000.00","Cash, Conventional","Sold","3/22/2012 4:03:21 PM","2.00","12/23/2011 12:00:00 AM"
"St Louis","MO","Lansdowne","6830","63109","78","0","Slab","1.00","6","St Louis City","Other","6","Conventional","0","Gas","GSTL","35000.00","","Bank","35500.00","1/9/2012 12:00:00 AM","35500.00","Cash, Conventional","Sold","1/12/2012 2:57:05 PM","1.00","10/12/2011 12:00:00 AM"
"St Louis","MO","Bancroft","6942","63109","85","0","None","1.00","242","St Louis City","Central-Electric","242","Cash","0","Gas","GSTL","86900.00","","Private","39000.00","3/5/2012 12:00:00 AM","39000.00","Conventional","Sold","3/12/2012 9:02:07 AM","2.00","12/10/2010 12:00:00 AM"
"St Louis","MO","Berger","3824","63109","58","0","Slab","1.00","6","St Louis City","Central-Electric","6","Cash","1","Gas","GSTL","36000.00","","Bank","39200.00","2/3/2012 12:00:00 AM","39200.00","Cash, Conventional","Sold","2/6/2012 7:45:35 PM","2.00","10/31/2011 12:00:00 AM"
"St Louis","MO","Lindenwood","7127","63109","87","0","Full","1.00","29","St Louis City","Other","29","Cash","0","Gas","GSTL","48900.00","","Bank","42460.00","11/22/2011 12:00:00 AM","42460.00","Cash, Conventional","Sold","11/22/2011 12:00:00 AM","2.00","8/31/2011 12:00:00 AM"
