"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"6/6/2012 12:00:00 AM","15","8/1/2011 12:00:00 AM","199000.00","Sold","193000.00","8/20/2011 12:00:00 AM"
"6/29/2012 12:00:00 AM","57","1/12/2012 12:00:00 AM","29900.00","Sold","28500.00","3/9/2012 12:00:00 AM"
"1/10/2012 12:00:00 AM","97","9/12/2011 12:00:00 AM","35500.00","Sold","30000.00","12/20/2011 12:00:00 AM"
"2/16/2012 12:00:00 AM","10","10/24/2011 12:00:00 AM","19800.00","Sold","30101.00","11/4/2011 12:00:00 AM"
"10/28/2011 12:00:00 AM","25","9/22/2011 12:00:00 AM","39000.00","Sold","35000.00","10/17/2011 12:00:00 AM"
"3/19/2012 12:00:00 AM","31","12/23/2011 12:00:00 AM","38000.00","Sold","35000.00","1/27/2012 12:00:00 AM"
"1/9/2012 12:00:00 AM","6","10/12/2011 12:00:00 AM","35000.00","Sold","35500.00","10/27/2011 12:00:00 AM"
"3/5/2012 12:00:00 AM","242","12/10/2010 12:00:00 AM","86900.00","Sold","39000.00","8/9/2011 12:00:00 AM"
"2/3/2012 12:00:00 AM","6","10/31/2011 12:00:00 AM","36000.00","Sold","39200.00","11/9/2011 12:00:00 AM"
"11/22/2011 12:00:00 AM","29","8/31/2011 12:00:00 AM","48900.00","Sold","42460.00","9/30/2011 12:00:00 AM"
"6/28/2012 12:00:00 AM","17","5/21/2012 12:00:00 AM","47500.00","Sold","42500.00","6/6/2012 12:00:00 AM"
"4/6/2012 12:00:00 AM","39","2/10/2012 12:00:00 AM","69900.00","Sold","45000.00","3/20/2012 12:00:00 AM"
"7/6/2012 12:00:00 AM","61","5/9/2012 12:00:00 AM","59900.00","Sold","45000.00","6/26/2012 12:00:00 AM"
"7/9/2012 12:00:00 AM","11","4/16/2012 12:00:00 AM","30000.00","Sold","45111.00","4/27/2012 12:00:00 AM"
"11/30/2011 12:00:00 AM","24","9/8/2011 12:00:00 AM","39900.00","Sold","46000.00","10/7/2011 12:00:00 AM"
"4/30/2012 12:00:00 AM","52","2/13/2012 12:00:00 AM","49900.00","Sold","47000.00","4/5/2012 12:00:00 AM"
"4/4/2012 12:00:00 AM","46","12/19/2011 12:00:00 AM","49900.00","Sold","50000.00","2/16/2012 12:00:00 AM"
"5/8/2012 12:00:00 AM","111","1/1/2012 12:00:00 AM","94900.00","Sold","50000.00","4/20/2012 12:00:00 AM"
"1/9/2012 12:00:00 AM","94","8/1/2011 12:00:00 AM","59900.00","Sold","51000.00","12/7/2011 12:00:00 AM"
"2/24/2012 12:00:00 AM","12","1/12/2012 12:00:00 AM","44550.00","Sold","52000.00","1/24/2012 12:00:00 AM"
"3/26/2012 12:00:00 AM","21","2/6/2012 12:00:00 AM","76125.00","Sold","52000.00","3/7/2012 12:00:00 AM"
"2/27/2012 12:00:00 AM","14","1/27/2012 12:00:00 AM","49900.00","Sold","53000.00","2/13/2012 12:00:00 AM"
"6/8/2012 12:00:00 AM","58","2/28/2012 12:00:00 AM","69900.00","Sold","53600.00","5/25/2012 12:00:00 AM"
"9/27/2011 12:00:00 AM","40","8/5/2011 12:00:00 AM","59900.00","Sold","57000.00","9/14/2011 12:00:00 AM"
"3/20/2012 12:00:00 AM","33","11/29/2011 12:00:00 AM","70000.00","Sold","59000.00","1/3/2012 12:00:00 AM"
"3/29/2012 12:00:00 AM","120","10/25/2011 12:00:00 AM","59000.00","Sold","59900.00","3/27/2012 12:00:00 AM"
"5/18/2012 12:00:00 AM","24","4/16/2012 12:00:00 AM","65000.00","Sold","60000.00","5/9/2012 12:00:00 AM"
"4/10/2012 12:00:00 AM","12","2/28/2012 12:00:00 AM","67900.00","Sold","66500.00","3/9/2012 12:00:00 AM"
"5/30/2012 12:00:00 AM","91","1/13/2012 12:00:00 AM","79900.00","Sold","67500.00","4/13/2012 12:00:00 AM"
"3/8/2012 12:00:00 AM","103","10/5/2011 12:00:00 AM","72000.00","Sold","71000.00","1/16/2012 12:00:00 AM"
"1/19/2012 12:00:00 AM","258","1/10/2011 12:00:00 AM","79900.00","Sold","74000.00","12/15/2011 12:00:00 AM"
"6/8/2012 12:00:00 AM","21","4/10/2012 12:00:00 AM","79900.00","Sold","75000.00","4/25/2012 12:00:00 AM"
"8/26/2011 12:00:00 AM","129","4/6/2011 12:00:00 AM","84900.00","Sold","76000.00","8/13/2011 12:00:00 AM"
"4/30/2012 12:00:00 AM","69","1/24/2012 12:00:00 AM","85900.00","Sold","80000.00","3/27/2012 12:00:00 AM"
"3/26/2012 12:00:00 AM","118","10/28/2011 12:00:00 AM","83444.00","Sold","81400.00","2/23/2012 12:00:00 AM"
"5/14/2012 12:00:00 AM","9","4/9/2012 12:00:00 AM","68400.00","Sold","82120.00","4/18/2012 12:00:00 AM"
"1/27/2012 12:00:00 AM","80","11/12/2011 12:00:00 AM","99900.00","Sold","83000.00","1/27/2012 12:00:00 AM"
"1/5/2012 12:00:00 AM","68","10/5/2011 12:00:00 AM","98900.00","Sold","83900.00","12/12/2011 12:00:00 AM"
"8/17/2011 12:00:00 AM","77","5/31/2011 12:00:00 AM","94900.00","Sold","87650.00","8/16/2011 12:00:00 AM"
"6/29/2012 12:00:00 AM","77","4/6/2012 12:00:00 AM","100000.00","Sold","96500.00","6/21/2012 12:00:00 AM"
"6/28/2012 12:00:00 AM","46","4/9/2012 12:00:00 AM","110000.00","Sold","98000.00","6/10/2012 12:00:00 AM"
"3/30/2012 12:00:00 AM","180","9/9/2011 12:00:00 AM","114500.00","Sold","100000.00","3/5/2012 12:00:00 AM"
"4/19/2012 12:00:00 AM","6","2/20/2012 12:00:00 AM","99900.00","Sold","105000.00","2/27/2012 12:00:00 AM"
