"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","7","6/27/2012 12:00:00 AM","189900.00","Active","",""
"","360","7/8/2011 12:00:00 AM","195000.00","Active","0.00",""
"","81","4/16/2012 12:00:00 AM","199900.00","Active","",""
"","157","1/31/2012 12:00:00 AM","204900.00","Active","",""
"","161","1/20/2012 12:00:00 AM","222000.00","Active","",""
"2/27/2012 12:00:00 AM","214","7/10/2011 12:00:00 AM","159900.00","Sold","144000.00","2/10/2012 12:00:00 AM"
"4/17/2012 12:00:00 AM","50","2/21/2012 12:00:00 AM","229900.00","Sold","207500.00","4/11/2012 12:00:00 AM"
"12/14/2011 12:00:00 AM","41","10/27/2011 12:00:00 AM","104900.00","Sold","109000.00","12/8/2011 12:00:00 AM"
"9/16/2011 12:00:00 AM","81","6/25/2011 12:00:00 AM","149900.00","Sold","147000.00","9/15/2011 12:00:00 AM"
"12/19/2011 12:00:00 AM","29","10/19/2011 12:00:00 AM","163000.00","Sold","149500.00","11/18/2011 12:00:00 AM"
"10/7/2011 12:00:00 AM","9","8/23/2011 12:00:00 AM","158900.00","Sold","158900.00","9/2/2011 12:00:00 AM"
"2/10/2012 12:00:00 AM","25","1/2/2012 12:00:00 AM","159900.00","Sold","159900.00","1/27/2012 12:00:00 AM"
"11/29/2011 12:00:00 AM","139","6/21/2011 12:00:00 AM","164900.00","Sold","160000.00","11/9/2011 12:00:00 AM"
"8/9/2011 12:00:00 AM","140","3/21/2011 12:00:00 AM","169900.00","Sold","162500.00","8/8/2011 12:00:00 AM"
"8/26/2011 12:00:00 AM","41","6/24/2011 12:00:00 AM","169850.00","Sold","165000.00","8/8/2011 12:00:00 AM"
"5/25/2012 12:00:00 AM","126","1/7/2012 12:00:00 AM","179000.00","Sold","165000.00","5/25/2012 12:00:00 AM"
"5/29/2012 12:00:00 AM","431","3/21/2011 12:00:00 AM","184000.00","Sold","180000.00","5/26/2012 12:00:00 AM"
"8/17/2011 12:00:00 AM","202","1/13/2011 12:00:00 AM","184900.00","Sold","182500.00","8/3/2011 12:00:00 AM"
"2/15/2012 12:00:00 AM","119","10/6/2011 12:00:00 AM","184900.00","Sold","184900.00","2/4/2012 12:00:00 AM"
"1/31/2012 12:00:00 AM","319","3/18/2011 12:00:00 AM","199999.00","Sold","185000.00","1/30/2012 12:00:00 AM"
"12/19/2011 12:00:00 AM","231","5/2/2011 12:00:00 AM","179900.00","Sold","188000.00","12/19/2011 12:00:00 AM"
"5/30/2012 12:00:00 AM","119","1/18/2012 12:00:00 AM","197000.00","Sold","196000.00","5/21/2012 12:00:00 AM"
"1/5/2012 12:00:00 AM","289","3/16/2011 12:00:00 AM","200000.00","Sold","200000.00","12/30/2011 12:00:00 AM"
