"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"8/26/2011 12:00:00 AM","44","7/11/2011 12:00:00 AM","27900.00","Sold","20900.00","8/25/2011 12:00:00 AM"
"4/3/2012 12:00:00 AM","19","3/3/2012 12:00:00 AM","37500.00","Sold","32000.00","3/8/2012 12:00:00 AM"
"3/26/2012 12:00:00 AM","32","1/31/2012 12:00:00 AM","34900.00","Sold","34000.00","2/24/2012 12:00:00 AM"
"4/16/2012 12:00:00 AM","22","3/5/2012 12:00:00 AM","35000.00","Sold","35000.00","3/29/2012 12:00:00 AM"
"10/7/2011 12:00:00 AM","219","11/18/2010 12:00:00 AM","38500.00","Sold","38631.00","8/26/2011 12:00:00 AM"
"10/18/2011 12:00:00 AM","177","3/30/2011 12:00:00 AM","49000.00","Sold","40000.00","9/29/2011 12:00:00 AM"
"4/10/2012 12:00:00 AM","240","6/27/2011 12:00:00 AM","40000.00","Sold","40000.00","2/23/2012 12:00:00 AM"
"2/7/2012 12:00:00 AM","82","10/19/2011 12:00:00 AM","44910.00","Sold","42000.00","1/9/2012 12:00:00 AM"
"4/20/2012 12:00:00 AM","22","3/15/2012 12:00:00 AM","53900.00","Sold","42000.00","4/6/2012 12:00:00 AM"
"9/21/2011 12:00:00 AM","164","2/16/2011 12:00:00 AM","52500.00","Sold","42500.00","8/12/2011 12:00:00 AM"
"10/31/2011 12:00:00 AM","23","5/10/2011 12:00:00 AM","52900.00","Sold","44000.00","6/3/2011 12:00:00 AM"
"4/20/2012 12:00:00 AM","67","1/14/2012 12:00:00 AM","52200.00","Sold","47235.00","3/21/2012 12:00:00 AM"
"3/15/2012 12:00:00 AM","21","1/19/2012 12:00:00 AM","48500.00","Sold","49100.00","2/11/2012 12:00:00 AM"
"1/17/2012 12:00:00 AM","205","5/11/2011 12:00:00 AM","50000.00","Sold","52500.00","12/7/2011 12:00:00 AM"
"10/18/2011 12:00:00 AM","118","5/16/2011 12:00:00 AM","58900.00","Sold","57000.00","9/12/2011 12:00:00 AM"
"2/14/2012 12:00:00 AM","633","4/28/2010 12:00:00 AM","60000.00","Sold","60000.00","2/6/2012 12:00:00 AM"
"9/7/2011 12:00:00 AM","80","6/9/2011 12:00:00 AM","75000.00","Sold","63000.00","8/29/2011 12:00:00 AM"
"5/18/2012 12:00:00 AM","160","12/1/2011 12:00:00 AM","69900.00","Sold","63500.00","5/8/2012 12:00:00 AM"
