"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","329","7/28/2011 12:00:00 AM","15000.00","Active","0.00",""
"","152","1/27/2012 12:00:00 AM","15200.00","Active","",""
"","50","5/11/2012 12:00:00 AM","15500.00","Active","",""
"","37","5/24/2012 12:00:00 AM","16500.00","Active","",""
"","47","5/14/2012 12:00:00 AM","16900.00","Active","",""
"","233","11/10/2011 12:00:00 AM","17900.00","Active","0.00",""
"","54","5/7/2012 12:00:00 AM","19900.00","Active","",""
"","47","5/14/2012 12:00:00 AM","24900.00","Active","",""
"","77","4/14/2012 12:00:00 AM","25000.00","Active","",""
"","123","2/28/2012 12:00:00 AM","28500.00","Active","",""
"","390","6/1/2011 12:00:00 AM","29399.00","Active","0.00",""
"11/28/2011 12:00:00 AM","68","9/8/2011 12:00:00 AM","9900.00","Sold","9000.00","11/15/2011 12:00:00 AM"
"7/7/2011 12:00:00 AM","46","5/5/2011 12:00:00 AM","12000.00","Sold","10000.00","6/28/2011 12:00:00 AM"
"10/13/2011 12:00:00 AM","20","8/30/2011 12:00:00 AM","7500.00","Sold","10626.00","9/19/2011 12:00:00 AM"
"8/10/2011 12:00:00 AM","38","4/16/2011 12:00:00 AM","13000.00","Sold","11000.00","5/24/2011 12:00:00 AM"
"12/9/2011 12:00:00 AM","15","8/7/2011 12:00:00 AM","11000.00","Sold","11000.00","10/21/2011 12:00:00 AM"
"2/8/2012 12:00:00 AM","36","11/28/2011 12:00:00 AM","9000.00","Sold","11000.00","1/3/2012 12:00:00 AM"
"8/10/2011 12:00:00 AM","23","7/6/2011 12:00:00 AM","13000.00","Sold","12000.00","7/29/2011 12:00:00 AM"
"12/13/2011 12:00:00 AM","118","8/9/2011 12:00:00 AM","15000.00","Sold","12000.00","12/6/2011 12:00:00 AM"
"2/3/2012 12:00:00 AM","33","10/26/2011 12:00:00 AM","15900.00","Sold","12500.00","11/30/2011 12:00:00 AM"
"3/15/2012 12:00:00 AM","108","10/24/2011 12:00:00 AM","12500.00","Sold","12601.00","2/10/2012 12:00:00 AM"
"7/7/2011 12:00:00 AM","39","5/19/2011 12:00:00 AM","19000.00","Sold","13000.00","6/28/2011 12:00:00 AM"
"5/11/2012 12:00:00 AM","22","3/19/2012 12:00:00 AM","9500.00","Sold","13100.00","4/11/2012 12:00:00 AM"
"10/28/2011 12:00:00 AM","82","7/21/2011 12:00:00 AM","14000.00","Sold","14000.00","10/11/2011 12:00:00 AM"
"11/30/2011 12:00:00 AM","54","10/7/2011 12:00:00 AM","13500.00","Sold","14700.00","11/30/2011 12:00:00 AM"
"3/28/2012 12:00:00 AM","17","3/1/2012 12:00:00 AM","14900.00","Sold","14900.00","3/18/2012 12:00:00 AM"
"1/25/2012 12:00:00 AM","62","10/17/2011 12:00:00 AM","15000.00","Sold","15000.00","12/22/2011 12:00:00 AM"
"11/21/2011 12:00:00 AM","32","9/13/2011 12:00:00 AM","14500.00","Sold","15100.00","10/19/2011 12:00:00 AM"
"4/20/2012 12:00:00 AM","4","3/13/2012 12:00:00 AM","18000.00","Sold","15500.00","3/20/2012 12:00:00 AM"
"9/22/2011 12:00:00 AM","69","5/21/2011 12:00:00 AM","15500.00","Sold","15830.00","7/29/2011 12:00:00 AM"
"8/22/2011 12:00:00 AM","28","7/5/2011 12:00:00 AM","19000.00","Sold","16000.00","8/2/2011 12:00:00 AM"
"1/19/2012 12:00:00 AM","44","11/26/2011 12:00:00 AM","18000.00","Sold","16000.00","1/9/2012 12:00:00 AM"
"12/12/2011 12:00:00 AM","153","5/31/2011 12:00:00 AM","17000.00","Sold","17000.00","11/21/2011 12:00:00 AM"
"4/19/2012 12:00:00 AM","25","3/3/2012 12:00:00 AM","18000.00","Sold","17000.00","3/29/2012 12:00:00 AM"
"3/9/2012 12:00:00 AM","405","11/6/2010 12:00:00 AM","29900.00","Sold","18000.00","2/13/2012 12:00:00 AM"
"10/28/2011 12:00:00 AM","54","8/10/2011 12:00:00 AM","20000.00","Sold","18900.00","10/3/2011 12:00:00 AM"
"9/21/2011 12:00:00 AM","14","9/1/2011 12:00:00 AM","23900.00","Sold","21000.00","9/15/2011 12:00:00 AM"
"10/18/2011 12:00:00 AM","187","2/23/2011 12:00:00 AM","26900.00","Sold","23000.00","9/28/2011 12:00:00 AM"
