"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"2/16/2012 12:00:00 AM","47","12/8/2011 12:00:00 AM","4000.00","Sold","2250.00","1/23/2012 12:00:00 AM"
"12/12/2011 12:00:00 AM","82","9/7/2011 12:00:00 AM","3900.00","Sold","3500.00","11/28/2011 12:00:00 AM"
"6/8/2012 12:00:00 AM","120","1/23/2012 12:00:00 AM","7000.00","Sold","4500.00","5/22/2012 12:00:00 AM"
"4/6/2012 12:00:00 AM","622","6/18/2010 12:00:00 AM","7000.00","Sold","5000.00","3/5/2012 12:00:00 AM"
"11/4/2011 12:00:00 AM","93","7/18/2011 12:00:00 AM","6500.00","Sold","5500.00","10/21/2011 12:00:00 AM"
"1/6/2012 12:00:00 AM","184","3/14/2011 12:00:00 AM","8000.00","Sold","6000.00","12/7/2011 12:00:00 AM"
"12/14/2011 12:00:00 AM","100","4/7/2011 12:00:00 AM","6800.00","Sold","6800.00","11/2/2011 12:00:00 AM"
"1/9/2012 12:00:00 AM","16","12/2/2011 12:00:00 AM","9900.00","Sold","7000.00","12/23/2011 12:00:00 AM"
"3/5/2012 12:00:00 AM","22","10/27/2011 12:00:00 AM","7000.00","Sold","7200.00","1/24/2012 12:00:00 AM"
"7/11/2011 12:00:00 AM","77","12/29/2010 12:00:00 AM","9000.00","Sold","7250.00","6/1/2011 12:00:00 AM"
"1/20/2012 12:00:00 AM","5","12/16/2011 12:00:00 AM","7500.00","Sold","7500.00","12/22/2011 12:00:00 AM"
"5/15/2012 12:00:00 AM","67","2/17/2012 12:00:00 AM","9900.00","Sold","7500.00","5/2/2012 12:00:00 AM"
"3/16/2012 12:00:00 AM","190","6/6/2011 12:00:00 AM","7700.00","Sold","7700.00","3/16/2012 12:00:00 AM"
"7/6/2011 12:00:00 AM","23","5/2/2011 12:00:00 AM","8900.00","Sold","8400.00","5/25/2011 12:00:00 AM"
"11/28/2011 12:00:00 AM","68","9/8/2011 12:00:00 AM","9900.00","Sold","9000.00","11/15/2011 12:00:00 AM"
"8/9/2011 12:00:00 AM","10","3/8/2011 12:00:00 AM","10000.00","Sold","10000.00","3/28/2011 12:00:00 AM"
"7/7/2011 12:00:00 AM","46","5/5/2011 12:00:00 AM","12000.00","Sold","10000.00","6/28/2011 12:00:00 AM"
"2/24/2012 12:00:00 AM","38","12/26/2011 12:00:00 AM","12000.00","Sold","10000.00","2/2/2012 12:00:00 AM"
"10/13/2011 12:00:00 AM","20","8/30/2011 12:00:00 AM","7500.00","Sold","10626.00","9/19/2011 12:00:00 AM"
