"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"St Louis","MO","Bee Tree","2736","63129","35","0","8 ft + pour, Full, Partially Finished, Roughed-In Bath, Sleeping Area","2.00","0","St Louis","Central-Electric","0","Conventional","2","Gas","GSTL","140000.00","","Private","130000.00","2/28/2012 12:00:00 AM","130000.00","Cash, Conventional, FHA","Sold","2/29/2012 5:30:12 PM","3.00","9/28/2011 12:00:00 AM"
"St Louis","MO","Cree","2725","63129","26","90","Full, Poured Concrete, Sump Pit/Pump","2.00","45","St Louis","Central-Electric","45","Other","2","Gas","GSTL","134900.00","","Private","134900.00","2/2/2012 12:00:00 AM","134900.00","Cash, Conventional, FHA","Sold","2/3/2012 3:28:29 PM","3.00","12/20/2011 12:00:00 AM"
"St Louis","MO","Baltusrol","2651","63129","48","220","Full","2.00","49","St Louis","Central-Electric","49","Conventional","2","Gas","GSTL","142900.00","","Bank","140000.00","5/25/2012 12:00:00 AM","140000.00","Cash, Conventional","Sold","5/29/2012 12:37:59 PM","3.00","3/28/2012 12:00:00 AM"
"Oakville","MO","Spring Water","2841","63129","25","120","Full, Partially Finished, Walk-Out","6.00","17","St Louis","Attic Fan, Ceiling Fan, Central-Electric","17","Cash","2","Gas","GSTL","165000.00","","Owner by Contract","143500.00","11/21/2011 12:00:00 AM","143500.00","Cash, Conventional, FHA, VA","Sold","11/21/2011 12:00:00 AM","4.00","9/7/2011 12:00:00 AM"
"St Louis","MO","Bluff Ridge","2539","63129","32","0","Full","3.00","65","St Louis","Central-Electric","65","Conventional","2","Gas","GSTL","185000.00","","Private","160000.00","11/29/2011 12:00:00 AM","160000.00","Cash, Conventional","Sold","12/1/2011 12:00:00 AM","4.00","9/13/2011 12:00:00 AM"
"St Louis","MO","Hornbrook","6734","63129","27","0","Full","2.00","14","St Louis","Central-Electric","14","Cash","2","Gas","GSTL","118000.00","","Bank","120000.00","12/12/2011 12:00:00 AM","120000.00","Cash, Conventional","Sold","12/12/2011 12:00:00 AM","3.00","10/23/2011 12:00:00 AM"
"St Louis","MO","Bee Tree","2713","63129","34","75","Bathroom in LL, Full, Partially Finished, Rec/Family Area, Sleeping Area, Walk-Out","3.00","255","St Louis","Attic Fan, Ceiling Fan, Central-Electric","255","FHA","2","Gas, Wood Insert","GSTL","149900.00","","Private","131000.00","2/3/2012 12:00:00 AM","131000.00","Cash, Conventional","Sold","2/6/2012 10:32:37 AM","3.00","3/31/2011 12:00:00 AM"
"St Louis","MO","Royal Gorge","2921","63129","32","100","Bathroom in LL, Partially Finished, Walk-Out","3.00","397","St Louis","Ceiling Fan, Central-Electric","42","Cash","2","Gas","GSTL","149900.00","","Private","135500.00","1/24/2012 12:00:00 AM","135500.00","Cash, Conventional, FHA, VA","Sold","1/25/2012 1:40:05 PM","3.00","12/5/2011 12:00:00 AM"
"St Louis","MO","Denacre","2676","63129","34","0","Full, Partially Finished","3.00","162","St Louis","Central-Electric, Zoned","19","Cash","2","Electric","GSTL","139900.00","","Bank","136400.00","3/30/2012 12:00:00 AM","136400.00","Cash, Specl Fincg Call Agt","Sold","4/2/2012 3:11:03 PM","3.00","2/22/2012 12:00:00 AM"
"St Louis","MO","Meramar","2707","63129","28","75","Full, Partially Finished, Poured Concrete, Rec/Family Area, Sump Pit/Pump","3.00","170","St Louis","Ceiling Fan, Central-Electric","170","Conventional","2","Gas","GSTL","149900.00","","Private","145000.00","6/28/2012 12:00:00 AM","145000.00","Cash, Conventional, FHA, RRM/ARM, VA","Sold","6/29/2012 2:22:49 PM","4.00","11/19/2011 12:00:00 AM"
