"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","0","6/28/2012 12:00:00 AM","16500.00","Active","",""
"","27","5/24/2012 12:00:00 AM","20000.00","Active","",""
"","51","5/8/2012 12:00:00 AM","22900.00","Active","",""
"","101","3/19/2012 12:00:00 AM","49900.00","Active","",""
"","14","6/5/2012 12:00:00 AM","49900.00","Active","",""
"9/26/2011 12:00:00 AM","177","2/4/2011 12:00:00 AM","14000.00","Sold","14540.00","8/4/2011 12:00:00 AM"
"1/5/2012 12:00:00 AM","33","12/7/2011 12:00:00 AM","14900.00","Sold","14700.00","1/5/2012 12:00:00 AM"
"12/12/2011 12:00:00 AM","9","11/19/2011 12:00:00 AM","15000.00","Sold","15000.00","11/29/2011 12:00:00 AM"
"4/27/2012 12:00:00 AM","6","3/1/2012 12:00:00 AM","15000.00","Sold","15150.00","3/7/2012 12:00:00 AM"
"11/30/2011 12:00:00 AM","48","10/5/2011 12:00:00 AM","16900.00","Sold","16000.00","11/22/2011 12:00:00 AM"
"2/17/2012 12:00:00 AM","56","11/3/2011 12:00:00 AM","24500.00","Sold","16500.00","12/30/2011 12:00:00 AM"
"3/16/2012 12:00:00 AM","22","1/25/2012 12:00:00 AM","19000.00","Sold","17000.00","2/16/2012 12:00:00 AM"
"1/26/2012 12:00:00 AM","16","1/10/2012 12:00:00 AM","17500.00","Sold","17500.00","1/25/2012 12:00:00 AM"
"12/1/2011 12:00:00 AM","21","11/8/2011 12:00:00 AM","17911.00","Sold","18500.00","11/29/2011 12:00:00 AM"
"1/5/2012 12:00:00 AM","42","11/26/2011 12:00:00 AM","17500.00","Sold","18500.00","1/5/2012 12:00:00 AM"
"12/16/2011 12:00:00 AM","250","2/2/2011 12:00:00 AM","29900.00","Sold","25000.00","11/28/2011 12:00:00 AM"
"7/13/2011 12:00:00 AM","215","11/17/2010 12:00:00 AM","35000.00","Sold","26000.00","6/22/2011 12:00:00 AM"
