"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"8/5/2011 12:00:00 AM","35","6/17/2011 12:00:00 AM","10000.00","Sold","1500.00","7/22/2011 12:00:00 AM"
"11/29/2011 12:00:00 AM","6","11/3/2011 12:00:00 AM","2500.00","Sold","3100.00","11/10/2011 12:00:00 AM"
"10/27/2011 12:00:00 AM","15","9/27/2011 12:00:00 AM","4900.00","Sold","3500.00","10/12/2011 12:00:00 AM"
"3/30/2012 12:00:00 AM","70","1/16/2012 12:00:00 AM","8900.00","Sold","4401.00","3/27/2012 12:00:00 AM"
"11/16/2011 12:00:00 AM","10","8/6/2011 12:00:00 AM","4500.00","Sold","4700.00","8/23/2011 12:00:00 AM"
"3/21/2012 12:00:00 AM","335","1/21/2011 12:00:00 AM","10500.00","Sold","7000.00","3/9/2012 12:00:00 AM"
"10/5/2011 12:00:00 AM","33","8/19/2011 12:00:00 AM","12000.00","Sold","7000.00","9/21/2011 12:00:00 AM"
"8/17/2011 12:00:00 AM","529","2/4/2010 12:00:00 AM","9900.00","Sold","7100.00","7/21/2011 12:00:00 AM"
"7/1/2011 12:00:00 AM","211","11/5/2010 12:00:00 AM","9900.00","Sold","7650.00","6/7/2011 12:00:00 AM"
"1/23/2012 12:00:00 AM","64","11/3/2011 12:00:00 AM","6000.00","Sold","8000.00","1/6/2012 12:00:00 AM"
"12/19/2011 12:00:00 AM","35","1/7/2011 12:00:00 AM","6000.00","Sold","8100.00","10/7/2011 12:00:00 AM"
"4/2/2012 12:00:00 AM","46","1/20/2012 12:00:00 AM","9900.00","Sold","8126.00","3/5/2012 12:00:00 AM"
"10/4/2011 12:00:00 AM","52","7/8/2011 12:00:00 AM","6000.00","Sold","8575.00","9/7/2011 12:00:00 AM"
"11/15/2011 12:00:00 AM","22","9/27/2011 12:00:00 AM","10500.00","Sold","9000.00","10/19/2011 12:00:00 AM"
"2/1/2012 12:00:00 AM","85","10/3/2011 12:00:00 AM","13000.00","Sold","9000.00","12/29/2011 12:00:00 AM"
"3/14/2012 12:00:00 AM","14","12/27/2011 12:00:00 AM","10000.00","Sold","9000.00","3/2/2012 12:00:00 AM"
"1/21/2012 12:00:00 AM","130","9/13/2011 12:00:00 AM","14999.00","Sold","9725.00","1/18/2012 12:00:00 AM"
"10/14/2011 12:00:00 AM","173","12/21/2010 12:00:00 AM","9000.00","Sold","10250.00","8/8/2011 12:00:00 AM"
"9/23/2011 12:00:00 AM","1","8/8/2011 12:00:00 AM","10500.00","Sold","10500.00","8/11/2011 12:00:00 AM"
"10/14/2011 12:00:00 AM","112","2/23/2011 12:00:00 AM","18000.00","Sold","12000.00","9/15/2011 12:00:00 AM"
"10/21/2011 12:00:00 AM","52","8/22/2011 12:00:00 AM","15000.00","Sold","12000.00","10/14/2011 12:00:00 AM"
"11/22/2011 12:00:00 AM","28","10/17/2011 12:00:00 AM","12500.00","Sold","12000.00","11/14/2011 12:00:00 AM"
"5/30/2012 12:00:00 AM","34","4/9/2012 12:00:00 AM","12000.00","Sold","12012.00","5/11/2012 12:00:00 AM"
"10/26/2011 12:00:00 AM","28","9/12/2011 12:00:00 AM","12300.00","Sold","12300.00","10/10/2011 12:00:00 AM"
"1/31/2012 12:00:00 AM","53","12/8/2011 12:00:00 AM","12000.00","Sold","12500.00","1/30/2012 12:00:00 AM"
"3/29/2012 12:00:00 AM","25","2/9/2012 12:00:00 AM","12000.00","Sold","12500.00","3/2/2012 12:00:00 AM"
"5/7/2012 12:00:00 AM","15","3/19/2012 12:00:00 AM","13000.00","Sold","12500.00","4/3/2012 12:00:00 AM"
"8/22/2011 12:00:00 AM","13","6/22/2011 12:00:00 AM","15000.00","Sold","12600.00","7/5/2011 12:00:00 AM"
"11/23/2011 12:00:00 AM","62","6/15/2011 12:00:00 AM","13000.00","Sold","13000.00","10/14/2011 12:00:00 AM"
"9/9/2011 12:00:00 AM","59","7/8/2011 12:00:00 AM","16000.00","Sold","13000.00","9/5/2011 12:00:00 AM"
"10/6/2011 12:00:00 AM","24","8/26/2011 12:00:00 AM","17900.00","Sold","13000.00","9/27/2011 12:00:00 AM"
"4/11/2012 12:00:00 AM","4","12/31/2011 12:00:00 AM","13000.00","Sold","13000.00","2/10/2012 12:00:00 AM"
"10/31/2011 12:00:00 AM","6","10/5/2011 12:00:00 AM","15000.00","Sold","13500.00","10/11/2011 12:00:00 AM"
"4/6/2012 12:00:00 AM","15","2/12/2012 12:00:00 AM","14000.00","Sold","14000.00","2/27/2012 12:00:00 AM"
"3/15/2012 12:00:00 AM","114","11/21/2011 12:00:00 AM","14500.00","Sold","14500.00","3/12/2012 12:00:00 AM"
"9/26/2011 12:00:00 AM","177","2/4/2011 12:00:00 AM","14000.00","Sold","14540.00","8/4/2011 12:00:00 AM"
"1/5/2012 12:00:00 AM","33","12/7/2011 12:00:00 AM","14900.00","Sold","14700.00","1/5/2012 12:00:00 AM"
"9/29/2011 12:00:00 AM","214","12/14/2010 12:00:00 AM","15400.00","Sold","14900.00","8/4/2011 12:00:00 AM"
"3/22/2012 12:00:00 AM","124","11/7/2011 12:00:00 AM","18000.00","Sold","15000.00","3/10/2012 12:00:00 AM"
"12/12/2011 12:00:00 AM","9","11/19/2011 12:00:00 AM","15000.00","Sold","15000.00","11/29/2011 12:00:00 AM"
"3/16/2012 12:00:00 AM","55","12/15/2011 12:00:00 AM","15000.00","Sold","15000.00","2/9/2012 12:00:00 AM"
"5/8/2012 12:00:00 AM","93","2/8/2012 12:00:00 AM","18000.00","Sold","15000.00","4/29/2012 12:00:00 AM"
"4/10/2012 12:00:00 AM","28","2/15/2012 12:00:00 AM","16000.00","Sold","15000.00","3/12/2012 12:00:00 AM"
"3/20/2012 12:00:00 AM","10","2/7/2012 12:00:00 AM","13000.00","Sold","15100.00","2/17/2012 12:00:00 AM"
"4/13/2012 12:00:00 AM","9","2/17/2012 12:00:00 AM","15000.00","Sold","15100.00","2/27/2012 12:00:00 AM"
"4/27/2012 12:00:00 AM","6","3/1/2012 12:00:00 AM","15000.00","Sold","15150.00","3/7/2012 12:00:00 AM"
"7/13/2011 12:00:00 AM","11","6/24/2011 12:00:00 AM","18000.00","Sold","15500.00","7/5/2011 12:00:00 AM"
"1/17/2012 12:00:00 AM","70","10/26/2011 12:00:00 AM","22500.00","Sold","15500.00","1/4/2012 12:00:00 AM"
"2/17/2012 12:00:00 AM","56","11/3/2011 12:00:00 AM","24500.00","Sold","16500.00","12/30/2011 12:00:00 AM"
"12/20/2011 12:00:00 AM","49","10/18/2011 12:00:00 AM","19900.00","Sold","17000.00","12/8/2011 12:00:00 AM"
"3/16/2012 12:00:00 AM","22","1/25/2012 12:00:00 AM","19000.00","Sold","17000.00","2/16/2012 12:00:00 AM"
"1/26/2012 12:00:00 AM","16","1/10/2012 12:00:00 AM","17500.00","Sold","17500.00","1/25/2012 12:00:00 AM"
"9/26/2011 12:00:00 AM","21","8/2/2011 12:00:00 AM","18475.00","Sold","17552.00","8/25/2011 12:00:00 AM"
"12/1/2011 12:00:00 AM","21","11/8/2011 12:00:00 AM","17911.00","Sold","18500.00","11/29/2011 12:00:00 AM"
"1/5/2012 12:00:00 AM","42","11/26/2011 12:00:00 AM","17500.00","Sold","18500.00","1/5/2012 12:00:00 AM"
"7/15/2011 12:00:00 AM","201","12/10/2010 12:00:00 AM","19900.00","Sold","19900.00","7/7/2011 12:00:00 AM"
"3/16/2012 12:00:00 AM","7","2/20/2012 12:00:00 AM","23900.00","Sold","20000.00","2/27/2012 12:00:00 AM"
"6/30/2011 12:00:00 AM","22","5/24/2011 12:00:00 AM","23750.00","Sold","20800.00","6/15/2011 12:00:00 AM"
"8/25/2011 12:00:00 AM","121","4/3/2011 12:00:00 AM","25000.00","Sold","21651.00","8/8/2011 12:00:00 AM"
"9/13/2011 12:00:00 AM","12","6/18/2011 12:00:00 AM","20000.00","Sold","21651.00","6/30/2011 12:00:00 AM"
"8/29/2011 12:00:00 AM","42","6/30/2011 12:00:00 AM","23000.00","Sold","21651.00","8/11/2011 12:00:00 AM"
"1/24/2012 12:00:00 AM","50","11/29/2011 12:00:00 AM","24900.00","Sold","22250.00","1/18/2012 12:00:00 AM"
"8/19/2011 12:00:00 AM","59","6/17/2011 12:00:00 AM","25000.00","Sold","22500.00","8/18/2011 12:00:00 AM"
"8/25/2011 12:00:00 AM","44","6/28/2011 12:00:00 AM","28000.00","Sold","22500.00","8/11/2011 12:00:00 AM"
"9/27/2011 12:00:00 AM","6","8/30/2011 12:00:00 AM","27500.00","Sold","22500.00","9/7/2011 12:00:00 AM"
"8/10/2011 12:00:00 AM","26","7/6/2011 12:00:00 AM","21500.00","Sold","22703.00","8/2/2011 12:00:00 AM"
"3/1/2012 12:00:00 AM","72","11/16/2011 12:00:00 AM","24900.00","Sold","22900.00","1/27/2012 12:00:00 AM"
"3/27/2012 12:00:00 AM","157","10/20/2011 12:00:00 AM","22500.00","Sold","23000.00","3/27/2012 12:00:00 AM"
"5/29/2012 12:00:00 AM","10","4/16/2012 12:00:00 AM","20900.00","Sold","23000.00","4/28/2012 12:00:00 AM"
"7/7/2011 12:00:00 AM","21","6/3/2011 12:00:00 AM","25000.00","Sold","23199.00","6/24/2011 12:00:00 AM"
"3/14/2012 12:00:00 AM","36","1/21/2012 12:00:00 AM","22500.00","Sold","23500.00","2/27/2012 12:00:00 AM"
"3/29/2012 12:00:00 AM","21","2/24/2012 12:00:00 AM","25000.00","Sold","24150.00","3/16/2012 12:00:00 AM"
"2/28/2012 12:00:00 AM","50","12/21/2011 12:00:00 AM","24065.00","Sold","24200.00","2/14/2012 12:00:00 AM"
"12/16/2011 12:00:00 AM","250","2/2/2011 12:00:00 AM","29900.00","Sold","25000.00","11/28/2011 12:00:00 AM"
"5/29/2012 12:00:00 AM","420","3/21/2011 12:00:00 AM","35000.00","Sold","25000.00","5/16/2012 12:00:00 AM"
"7/29/2011 12:00:00 AM","51","5/18/2011 12:00:00 AM","29900.00","Sold","25000.00","7/8/2011 12:00:00 AM"
"8/29/2011 12:00:00 AM","27","7/6/2011 12:00:00 AM","25000.00","Sold","25000.00","8/3/2011 12:00:00 AM"
"10/14/2011 12:00:00 AM","9","9/12/2011 12:00:00 AM","25500.00","Sold","25000.00","9/21/2011 12:00:00 AM"
"11/8/2011 12:00:00 AM","15","9/22/2011 12:00:00 AM","26900.00","Sold","25000.00","10/7/2011 12:00:00 AM"
"6/15/2012 12:00:00 AM","13","5/24/2012 12:00:00 AM","29900.00","Sold","25000.00","6/6/2012 12:00:00 AM"
"8/11/2011 12:00:00 AM","20","7/5/2011 12:00:00 AM","29000.00","Sold","25101.00","7/25/2011 12:00:00 AM"
"3/27/2012 12:00:00 AM","52","1/16/2012 12:00:00 AM","26900.00","Sold","25500.00","3/9/2012 12:00:00 AM"
"3/28/2012 12:00:00 AM","15","2/8/2012 12:00:00 AM","22900.00","Sold","25501.00","2/23/2012 12:00:00 AM"
