"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","95","3/27/2012 12:00:00 AM","39900.00","Active","",""
"","239","11/4/2011 12:00:00 AM","49000.00","Active","0.00",""
"","37","5/24/2012 12:00:00 AM","55000.00","Active","",""
"","32","5/25/2012 12:00:00 AM","59900.00","Active","",""
"7/26/2011 12:00:00 AM","9","7/4/2011 12:00:00 AM","13200.00","Sold","14000.00","7/15/2011 12:00:00 AM"
"10/25/2011 12:00:00 AM","102","6/17/2011 12:00:00 AM","15000.00","Sold","14500.00","10/7/2011 12:00:00 AM"
"12/30/2011 12:00:00 AM","42","11/10/2011 12:00:00 AM","18250.00","Sold","15500.00","12/22/2011 12:00:00 AM"
"7/27/2011 12:00:00 AM","21","6/24/2011 12:00:00 AM","19900.00","Sold","17000.00","7/15/2011 12:00:00 AM"
"12/30/2011 12:00:00 AM","17","11/28/2011 12:00:00 AM","19700.00","Sold","17000.00","12/15/2011 12:00:00 AM"
"9/23/2011 12:00:00 AM","15","8/30/2011 12:00:00 AM","19900.00","Sold","19500.00","9/14/2011 12:00:00 AM"
"8/11/2011 12:00:00 AM","713","2/12/2009 12:00:00 AM","39900.00","Sold","20000.00","7/22/2011 12:00:00 AM"
"4/27/2012 12:00:00 AM","126","10/27/2011 12:00:00 AM","29900.00","Sold","20000.00","2/29/2012 12:00:00 AM"
"4/27/2012 12:00:00 AM","8","4/4/2012 12:00:00 AM","20000.00","Sold","26000.00","4/12/2012 12:00:00 AM"
"10/6/2011 12:00:00 AM","6","9/30/2011 12:00:00 AM","34750.00","Sold","27500.00","10/6/2011 12:00:00 AM"
"4/9/2012 12:00:00 AM","24","2/24/2012 12:00:00 AM","24000.00","Sold","27500.00","3/19/2012 12:00:00 AM"
"10/21/2011 12:00:00 AM","38","8/2/2011 12:00:00 AM","27900.00","Sold","30100.00","9/26/2011 12:00:00 AM"
