"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"4/6/2012 12:00:00 AM","79","12/7/2011 12:00:00 AM","6000.00","Sold","4155.00","3/2/2012 12:00:00 AM"
"2/3/2012 12:00:00 AM","8","1/19/2012 12:00:00 AM","8500.00","Sold","6500.00","1/27/2012 12:00:00 AM"
"11/9/2011 12:00:00 AM","248","12/15/2010 12:00:00 AM","7500.00","Sold","7000.00","10/3/2011 12:00:00 AM"
"9/9/2011 12:00:00 AM","14","7/18/2011 12:00:00 AM","9900.00","Sold","7000.00","8/1/2011 12:00:00 AM"
"3/9/2012 12:00:00 AM","11","2/6/2012 12:00:00 AM","16900.00","Sold","7000.00","2/16/2012 12:00:00 AM"
"7/25/2011 12:00:00 AM","19","6/3/2011 12:00:00 AM","8000.00","Sold","7500.00","6/22/2011 12:00:00 AM"
"5/16/2012 12:00:00 AM","305","7/11/2011 12:00:00 AM","11700.00","Sold","8000.00","5/14/2012 12:00:00 AM"
"3/21/2012 12:00:00 AM","20","3/12/2012 12:00:00 AM","9900.00","Sold","8000.00","3/16/2012 12:00:00 AM"
"10/7/2011 12:00:00 AM","77","7/21/2011 12:00:00 AM","9000.00","Sold","9000.00","10/6/2011 12:00:00 AM"
"10/27/2011 12:00:00 AM","159","4/7/2011 12:00:00 AM","10150.00","Sold","9180.00","9/13/2011 12:00:00 AM"
"3/13/2012 12:00:00 AM","217","7/21/2011 12:00:00 AM","8000.00","Sold","10000.00","2/24/2012 12:00:00 AM"
"1/19/2012 12:00:00 AM","24","12/16/2011 12:00:00 AM","12900.00","Sold","10400.00","1/9/2012 12:00:00 AM"
"3/7/2012 12:00:00 AM","43","1/17/2012 12:00:00 AM","13911.00","Sold","10500.00","2/29/2012 12:00:00 AM"
"12/30/2011 12:00:00 AM","12","12/8/2011 12:00:00 AM","13500.00","Sold","11000.00","12/20/2011 12:00:00 AM"
"10/28/2011 12:00:00 AM","60","8/18/2011 12:00:00 AM","12900.00","Sold","12000.00","10/18/2011 12:00:00 AM"
"11/14/2011 12:00:00 AM","41","9/14/2011 12:00:00 AM","14500.00","Sold","12000.00","10/25/2011 12:00:00 AM"
"2/27/2012 12:00:00 AM","7","1/24/2012 12:00:00 AM","11900.00","Sold","12000.00","1/31/2012 12:00:00 AM"
"9/14/2011 12:00:00 AM","1","8/29/2011 12:00:00 AM","12900.00","Sold","12900.00","8/30/2011 12:00:00 AM"
"8/31/2011 12:00:00 AM","51","7/6/2011 12:00:00 AM","16300.00","Sold","13000.00","8/26/2011 12:00:00 AM"
"10/7/2011 12:00:00 AM","17","7/19/2011 12:00:00 AM","14900.00","Sold","13000.00","9/8/2011 12:00:00 AM"
"3/29/2012 12:00:00 AM","47","1/30/2012 12:00:00 AM","14900.00","Sold","13000.00","3/16/2012 12:00:00 AM"
"8/23/2011 12:00:00 AM","169","12/22/2010 12:00:00 AM","15400.00","Sold","13302.00","6/22/2011 12:00:00 AM"
"11/23/2011 12:00:00 AM","5","9/27/2011 12:00:00 AM","13300.00","Sold","13500.00","10/3/2011 12:00:00 AM"
"7/26/2011 12:00:00 AM","9","7/4/2011 12:00:00 AM","13200.00","Sold","14000.00","7/15/2011 12:00:00 AM"
"4/9/2012 12:00:00 AM","98","10/18/2011 12:00:00 AM","14000.00","Sold","14000.00","2/3/2012 12:00:00 AM"
"11/10/2011 12:00:00 AM","7","10/19/2011 12:00:00 AM","14000.00","Sold","14000.00","10/27/2011 12:00:00 AM"
"10/25/2011 12:00:00 AM","102","6/17/2011 12:00:00 AM","15000.00","Sold","14500.00","10/7/2011 12:00:00 AM"
"5/16/2012 12:00:00 AM","97","1/19/2012 12:00:00 AM","22500.00","Sold","15000.00","5/1/2012 12:00:00 AM"
"9/16/2011 12:00:00 AM","6","8/2/2011 12:00:00 AM","15000.00","Sold","15199.00","8/8/2011 12:00:00 AM"
"12/30/2011 12:00:00 AM","42","11/10/2011 12:00:00 AM","18250.00","Sold","15500.00","12/22/2011 12:00:00 AM"
"5/16/2012 12:00:00 AM","11","3/23/2012 12:00:00 AM","13860.00","Sold","15650.00","4/6/2012 12:00:00 AM"
"1/13/2012 12:00:00 AM","58","10/12/2011 12:00:00 AM","19900.00","Sold","16000.00","12/9/2011 12:00:00 AM"
"3/15/2012 12:00:00 AM","27","1/31/2012 12:00:00 AM","16500.00","Sold","16000.00","2/28/2012 12:00:00 AM"
"5/4/2012 12:00:00 AM","33","3/8/2012 12:00:00 AM","14500.00","Sold","16500.00","4/19/2012 12:00:00 AM"
"8/17/2011 12:00:00 AM","40","6/9/2011 12:00:00 AM","19900.00","Sold","16900.00","7/19/2011 12:00:00 AM"
"7/27/2011 12:00:00 AM","21","6/24/2011 12:00:00 AM","19900.00","Sold","17000.00","7/15/2011 12:00:00 AM"
"12/30/2011 12:00:00 AM","17","11/28/2011 12:00:00 AM","19700.00","Sold","17000.00","12/15/2011 12:00:00 AM"
"3/1/2012 12:00:00 AM","20","1/22/2012 12:00:00 AM","22000.00","Sold","17000.00","2/12/2012 12:00:00 AM"
"2/28/2012 12:00:00 AM","106","11/10/2011 12:00:00 AM","20000.00","Sold","18000.00","2/14/2012 12:00:00 AM"
"9/23/2011 12:00:00 AM","15","8/30/2011 12:00:00 AM","19900.00","Sold","19500.00","9/14/2011 12:00:00 AM"
"2/8/2012 12:00:00 AM","35","12/3/2011 12:00:00 AM","18000.00","Sold","19500.00","1/9/2012 12:00:00 AM"
"8/11/2011 12:00:00 AM","713","2/12/2009 12:00:00 AM","39900.00","Sold","20000.00","7/22/2011 12:00:00 AM"
"8/26/2011 12:00:00 AM","158","2/28/2011 12:00:00 AM","37900.00","Sold","20000.00","8/8/2011 12:00:00 AM"
"10/28/2011 12:00:00 AM","40","9/13/2011 12:00:00 AM","29900.00","Sold","20000.00","10/26/2011 12:00:00 AM"
"11/16/2011 12:00:00 AM","8","10/15/2011 12:00:00 AM","22000.00","Sold","20000.00","10/25/2011 12:00:00 AM"
"4/27/2012 12:00:00 AM","126","10/27/2011 12:00:00 AM","29900.00","Sold","20000.00","2/29/2012 12:00:00 AM"
"5/4/2012 12:00:00 AM","10","3/25/2012 12:00:00 AM","18000.00","Sold","20651.00","4/13/2012 12:00:00 AM"
"12/2/2011 12:00:00 AM","23","10/10/2011 12:00:00 AM","24900.00","Sold","21000.00","11/2/2011 12:00:00 AM"
"11/3/2011 12:00:00 AM","38","8/13/2011 12:00:00 AM","25000.00","Sold","22607.00","9/20/2011 12:00:00 AM"
"2/28/2012 12:00:00 AM","70","11/11/2011 12:00:00 AM","29900.00","Sold","23000.00","1/24/2012 12:00:00 AM"
"6/7/2012 12:00:00 AM","1","4/4/2012 12:00:00 AM","25000.00","Sold","25199.00","4/5/2012 12:00:00 AM"
"11/23/2011 12:00:00 AM","12","10/31/2011 12:00:00 AM","17600.00","Sold","26000.00","11/14/2011 12:00:00 AM"
"5/14/2012 12:00:00 AM","31","3/9/2012 12:00:00 AM","20500.00","Sold","26000.00","4/9/2012 12:00:00 AM"
"4/27/2012 12:00:00 AM","8","4/4/2012 12:00:00 AM","20000.00","Sold","26000.00","4/12/2012 12:00:00 AM"
"10/6/2011 12:00:00 AM","6","9/30/2011 12:00:00 AM","34750.00","Sold","27500.00","10/6/2011 12:00:00 AM"
"4/9/2012 12:00:00 AM","24","2/24/2012 12:00:00 AM","24000.00","Sold","27500.00","3/19/2012 12:00:00 AM"
"12/15/2011 12:00:00 AM","20","11/9/2011 12:00:00 AM","26000.00","Sold","28100.00","11/29/2011 12:00:00 AM"
"8/26/2011 12:00:00 AM","180","11/29/2010 12:00:00 AM","38600.00","Sold","30000.00","6/10/2011 12:00:00 AM"
"1/3/2012 12:00:00 AM","16","11/21/2011 12:00:00 AM","29900.00","Sold","30000.00","12/8/2011 12:00:00 AM"
"6/19/2012 12:00:00 AM","0","5/26/2012 12:00:00 AM","30000.00","Sold","30000.00","5/29/2012 12:00:00 AM"
"10/21/2011 12:00:00 AM","38","8/2/2011 12:00:00 AM","27900.00","Sold","30100.00","9/26/2011 12:00:00 AM"
"2/28/2012 12:00:00 AM","181","9/1/2011 12:00:00 AM","35000.00","Sold","31800.00","2/28/2012 12:00:00 AM"
"7/26/2011 12:00:00 AM","14","6/13/2011 12:00:00 AM","26730.00","Sold","34250.00","6/28/2011 12:00:00 AM"
"4/17/2012 12:00:00 AM","13","3/6/2012 12:00:00 AM","30000.00","Sold","40100.00","3/19/2012 12:00:00 AM"
"2/24/2012 12:00:00 AM","134","9/28/2011 12:00:00 AM","49900.00","Sold","41000.00","2/8/2012 12:00:00 AM"
"1/20/2012 12:00:00 AM","16","11/21/2011 12:00:00 AM","40000.00","Sold","42199.00","12/7/2011 12:00:00 AM"
"8/29/2011 12:00:00 AM","26","6/16/2011 12:00:00 AM","65000.00","Sold","46377.00","7/13/2011 12:00:00 AM"
"6/28/2012 12:00:00 AM","28","5/11/2012 12:00:00 AM","63000.00","Sold","50500.00","6/8/2012 12:00:00 AM"
"6/6/2012 12:00:00 AM","124","11/15/2011 12:00:00 AM","69900.00","Sold","55000.00","5/4/2012 12:00:00 AM"
"11/17/2011 12:00:00 AM","368","7/19/2010 12:00:00 AM","69500.00","Sold","56000.00","9/13/2011 12:00:00 AM"
