"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","7","6/28/2012 12:00:00 AM","17500.00","Active","",""
"","63","5/4/2012 12:00:00 AM","18800.00","Active","",""
"","14","6/11/2012 12:00:00 AM","22500.00","Active","",""
"","14","6/18/2012 12:00:00 AM","24500.00","Active","",""
"","14","6/18/2012 12:00:00 AM","24500.00","Active","",""
"","14","6/15/2012 12:00:00 AM","25500.00","Active","",""
"","14","6/18/2012 12:00:00 AM","26500.00","Active","",""
"","352","7/19/2011 12:00:00 AM","31000.00","Active","0.00",""
"","352","7/19/2011 12:00:00 AM","31000.00","Active","0.00",""
"6/28/2012 12:00:00 AM","14","5/15/2012 12:00:00 AM","12000.00","Sold","10960.00","5/29/2012 12:00:00 AM"
"8/26/2011 12:00:00 AM","40","7/6/2011 12:00:00 AM","10000.00","Sold","11000.00","8/15/2011 12:00:00 AM"
"7/2/2012 12:00:00 AM","14","5/21/2012 12:00:00 AM","11000.00","Sold","11000.00","6/4/2012 12:00:00 AM"
"2/24/2012 12:00:00 AM","18","1/21/2012 12:00:00 AM","12500.00","Sold","12500.00","2/8/2012 12:00:00 AM"
"8/29/2011 12:00:00 AM","25","7/20/2011 12:00:00 AM","15000.00","Sold","13000.00","8/15/2011 12:00:00 AM"
"12/8/2011 12:00:00 AM","21","8/23/2011 12:00:00 AM","13000.00","Sold","13000.00","10/26/2011 12:00:00 AM"
"8/11/2011 12:00:00 AM","66","1/4/2011 12:00:00 AM","15000.00","Sold","13618.00","7/14/2011 12:00:00 AM"
"6/29/2012 12:00:00 AM","20","2/24/2012 12:00:00 AM","14000.00","Sold","14700.00","3/15/2012 12:00:00 AM"
"10/11/2011 12:00:00 AM","120","6/1/2011 12:00:00 AM","15000.00","Sold","15000.00","10/4/2011 12:00:00 AM"
"9/6/2011 12:00:00 AM","25","4/7/2011 12:00:00 AM","17900.00","Sold","15650.00","8/28/2011 12:00:00 AM"
"5/18/2012 12:00:00 AM","8","2/28/2012 12:00:00 AM","15800.00","Sold","15800.00","3/22/2012 12:00:00 AM"
"7/20/2011 12:00:00 AM","19","6/1/2011 12:00:00 AM","19900.00","Sold","17500.00","6/20/2011 12:00:00 AM"
"1/20/2012 12:00:00 AM","9","12/27/2011 12:00:00 AM","20000.00","Sold","22000.00","1/6/2012 12:00:00 AM"
"9/30/2011 12:00:00 AM","32","8/18/2011 12:00:00 AM","27000.00","Sold","23500.00","9/20/2011 12:00:00 AM"
