"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"2/9/2012 12:00:00 AM","89","10/29/2011 12:00:00 AM","4000.00","Sold","3000.00","1/26/2012 12:00:00 AM"
"2/24/2012 12:00:00 AM","74","10/6/2011 12:00:00 AM","9900.00","Sold","4600.00","1/25/2012 12:00:00 AM"
"9/2/2011 12:00:00 AM","74","5/6/2011 12:00:00 AM","9500.00","Sold","5000.00","7/22/2011 12:00:00 AM"
"3/1/2012 12:00:00 AM","137","8/12/2011 12:00:00 AM","6265.00","Sold","5500.00","1/26/2012 12:00:00 AM"
"5/4/2012 12:00:00 AM","89","1/5/2012 12:00:00 AM","8000.00","Sold","5500.00","3/30/2012 12:00:00 AM"
"9/16/2011 12:00:00 AM","44","6/27/2011 12:00:00 AM","6000.00","Sold","6026.00","8/10/2011 12:00:00 AM"
"10/31/2011 12:00:00 AM","42","8/24/2011 12:00:00 AM","6499.00","Sold","6500.00","10/5/2011 12:00:00 AM"
"6/22/2012 12:00:00 AM","78","4/4/2012 12:00:00 AM","8000.00","Sold","7000.00","6/21/2012 12:00:00 AM"
"4/20/2012 12:00:00 AM","50","1/17/2012 12:00:00 AM","7650.00","Sold","7400.00","3/19/2012 12:00:00 AM"
"11/4/2011 12:00:00 AM","191","4/25/2011 12:00:00 AM","8000.00","Sold","7500.00","11/3/2011 12:00:00 AM"
"11/22/2011 12:00:00 AM","7","10/31/2011 12:00:00 AM","7500.00","Sold","7500.00","11/7/2011 12:00:00 AM"
"12/21/2011 12:00:00 AM","12","11/23/2011 12:00:00 AM","8200.00","Sold","7500.00","12/5/2011 12:00:00 AM"
"2/10/2012 12:00:00 AM","2","2/7/2012 12:00:00 AM","10000.00","Sold","7900.00","2/9/2012 12:00:00 AM"
"12/27/2011 12:00:00 AM","47","10/11/2011 12:00:00 AM","8950.00","Sold","8000.00","11/27/2011 12:00:00 AM"
"9/8/2011 12:00:00 AM","21","8/15/2011 12:00:00 AM","9000.00","Sold","8200.00","9/5/2011 12:00:00 AM"
"9/29/2011 12:00:00 AM","19","8/25/2011 12:00:00 AM","8000.00","Sold","8500.00","9/13/2011 12:00:00 AM"
"4/6/2012 12:00:00 AM","47","1/8/2012 12:00:00 AM","10500.00","Sold","8500.00","2/28/2012 12:00:00 AM"
"10/31/2011 12:00:00 AM","84","8/2/2011 12:00:00 AM","9900.00","Sold","9000.00","10/27/2011 12:00:00 AM"
"4/25/2012 12:00:00 AM","43","2/7/2012 12:00:00 AM","9000.00","Sold","9250.00","3/22/2012 12:00:00 AM"
"4/20/2012 12:00:00 AM","48","3/2/2012 12:00:00 AM","9000.00","Sold","9500.00","4/20/2012 12:00:00 AM"
"9/6/2011 12:00:00 AM","35","4/21/2011 12:00:00 AM","9500.00","Sold","9600.00","6/17/2011 12:00:00 AM"
"12/15/2011 12:00:00 AM","9","11/23/2011 12:00:00 AM","9900.00","Sold","9900.00","12/2/2011 12:00:00 AM"
"11/30/2011 12:00:00 AM","6","10/16/2011 12:00:00 AM","9900.00","Sold","10600.00","11/2/2011 12:00:00 AM"
"6/28/2012 12:00:00 AM","14","5/15/2012 12:00:00 AM","12000.00","Sold","10960.00","5/29/2012 12:00:00 AM"
"8/26/2011 12:00:00 AM","40","7/6/2011 12:00:00 AM","10000.00","Sold","11000.00","8/15/2011 12:00:00 AM"
"7/2/2012 12:00:00 AM","14","5/21/2012 12:00:00 AM","11000.00","Sold","11000.00","6/4/2012 12:00:00 AM"
"2/16/2012 12:00:00 AM","10","11/7/2011 12:00:00 AM","10900.00","Sold","11500.00","11/17/2011 12:00:00 AM"
"3/9/2012 12:00:00 AM","35","1/23/2012 12:00:00 AM","13000.00","Sold","11500.00","2/27/2012 12:00:00 AM"
"10/17/2011 12:00:00 AM","17","9/9/2011 12:00:00 AM","9900.00","Sold","11750.00","9/27/2011 12:00:00 AM"
"11/17/2011 12:00:00 AM","22","10/17/2011 12:00:00 AM","12500.00","Sold","12500.00","11/8/2011 12:00:00 AM"
"2/24/2012 12:00:00 AM","18","1/21/2012 12:00:00 AM","12500.00","Sold","12500.00","2/8/2012 12:00:00 AM"
"8/29/2011 12:00:00 AM","25","7/20/2011 12:00:00 AM","15000.00","Sold","13000.00","8/15/2011 12:00:00 AM"
"12/8/2011 12:00:00 AM","21","8/23/2011 12:00:00 AM","13000.00","Sold","13000.00","10/26/2011 12:00:00 AM"
"8/11/2011 12:00:00 AM","66","1/4/2011 12:00:00 AM","15000.00","Sold","13618.00","7/14/2011 12:00:00 AM"
"12/29/2011 12:00:00 AM","12","11/30/2011 12:00:00 AM","14000.00","Sold","14000.00","12/12/2011 12:00:00 AM"
"6/29/2012 12:00:00 AM","20","2/24/2012 12:00:00 AM","14000.00","Sold","14700.00","3/15/2012 12:00:00 AM"
"10/11/2011 12:00:00 AM","120","6/1/2011 12:00:00 AM","15000.00","Sold","15000.00","10/4/2011 12:00:00 AM"
"10/26/2011 12:00:00 AM","38","8/9/2011 12:00:00 AM","20000.00","Sold","15000.00","9/16/2011 12:00:00 AM"
"9/6/2011 12:00:00 AM","25","4/7/2011 12:00:00 AM","17900.00","Sold","15650.00","8/28/2011 12:00:00 AM"
"5/18/2012 12:00:00 AM","8","2/28/2012 12:00:00 AM","15800.00","Sold","15800.00","3/22/2012 12:00:00 AM"
"8/19/2011 12:00:00 AM","324","6/7/2010 12:00:00 AM","25000.00","Sold","16500.00","8/19/2011 12:00:00 AM"
"7/20/2011 12:00:00 AM","19","6/1/2011 12:00:00 AM","19900.00","Sold","17500.00","6/20/2011 12:00:00 AM"
"10/19/2011 12:00:00 AM","6","9/14/2011 12:00:00 AM","19000.00","Sold","20199.00","9/20/2011 12:00:00 AM"
"9/23/2011 12:00:00 AM","9","8/19/2011 12:00:00 AM","18900.00","Sold","21000.00","8/29/2011 12:00:00 AM"
"8/11/2011 12:00:00 AM","27","6/30/2011 12:00:00 AM","30000.00","Sold","22000.00","7/29/2011 12:00:00 AM"
"1/20/2012 12:00:00 AM","9","12/27/2011 12:00:00 AM","20000.00","Sold","22000.00","1/6/2012 12:00:00 AM"
"3/23/2012 12:00:00 AM","83","12/29/2011 12:00:00 AM","35000.00","Sold","22000.00","2/17/2012 12:00:00 AM"
"9/30/2011 12:00:00 AM","32","8/18/2011 12:00:00 AM","27000.00","Sold","23500.00","9/20/2011 12:00:00 AM"
"12/14/2011 12:00:00 AM","29","10/25/2011 12:00:00 AM","27000.00","Sold","23500.00","11/23/2011 12:00:00 AM"
"4/5/2012 12:00:00 AM","21","2/15/2012 12:00:00 AM","28000.00","Sold","25426.00","3/7/2012 12:00:00 AM"
"4/13/2012 12:00:00 AM","112","11/30/2011 12:00:00 AM","35000.00","Sold","32000.00","4/6/2012 12:00:00 AM"
"11/9/2011 12:00:00 AM","44","3/29/2011 12:00:00 AM","38000.00","Sold","38000.00","8/10/2011 12:00:00 AM"
"8/29/2011 12:00:00 AM","21","7/16/2011 12:00:00 AM","55000.00","Sold","54000.00","8/6/2011 12:00:00 AM"
"5/31/2012 12:00:00 AM","154","10/18/2011 12:00:00 AM","59900.00","Sold","60000.00","3/20/2012 12:00:00 AM"
"6/6/2012 12:00:00 AM","294","5/26/2011 12:00:00 AM","65000.00","Sold","70000.00","3/15/2012 12:00:00 AM"
