"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","16","6/11/2012 12:00:00 AM","31000.00","Active","",""
"","12","6/16/2012 12:00:00 AM","35700.00","Active","",""
"","21","6/6/2012 12:00:00 AM","40000.00","Active","",""
"","10","6/18/2012 12:00:00 AM","40000.00","Active","",""
"","24","6/3/2012 12:00:00 AM","41500.00","Active","",""
"","35","5/24/2012 12:00:00 AM","42500.00","Active","",""
"","265","10/6/2011 12:00:00 AM","44900.00","Active","0.00",""
"","57","5/2/2012 12:00:00 AM","44900.00","Active","",""
"","108","3/9/2012 12:00:00 AM","46500.00","Active","",""
"3/13/2012 12:00:00 AM","218","6/19/2011 12:00:00 AM","19900.00","Sold","16000.00","1/31/2012 12:00:00 AM"
"6/20/2012 12:00:00 AM","91","2/23/2012 12:00:00 AM","17500.00","Sold","16000.00","5/30/2012 12:00:00 AM"
"11/9/2011 12:00:00 AM","12","7/27/2011 12:00:00 AM","17300.00","Sold","16400.00","8/8/2011 12:00:00 AM"
"4/17/2012 12:00:00 AM","11","3/7/2012 12:00:00 AM","17200.00","Sold","16500.00","3/18/2012 12:00:00 AM"
"5/10/2012 12:00:00 AM","102","1/5/2012 12:00:00 AM","14900.00","Sold","16600.00","4/16/2012 12:00:00 AM"
"7/13/2011 12:00:00 AM","88","3/24/2011 12:00:00 AM","18000.00","Sold","16700.00","6/21/2011 12:00:00 AM"
"10/18/2011 12:00:00 AM","186","12/15/2010 12:00:00 AM","18000.00","Sold","17050.00","7/6/2011 12:00:00 AM"
"7/28/2011 12:00:00 AM","24","6/16/2011 12:00:00 AM","19300.00","Sold","17800.00","7/11/2011 12:00:00 AM"
"5/7/2012 12:00:00 AM","14","2/28/2012 12:00:00 AM","19000.00","Sold","18250.00","3/13/2012 12:00:00 AM"
"6/14/2012 12:00:00 AM","14","5/15/2012 12:00:00 AM","18800.00","Sold","19000.00","5/29/2012 12:00:00 AM"
"12/9/2011 12:00:00 AM","0","11/20/2011 12:00:00 AM","20000.00","Sold","20000.00","11/21/2011 12:00:00 AM"
"9/15/2011 12:00:00 AM","11","8/19/2011 12:00:00 AM","19500.00","Sold","20700.00","8/31/2011 12:00:00 AM"
"6/26/2012 12:00:00 AM","31","5/4/2012 12:00:00 AM","21800.00","Sold","21000.00","6/4/2012 12:00:00 AM"
"8/19/2011 12:00:00 AM","36","7/14/2011 12:00:00 AM","20000.00","Sold","21600.00","8/19/2011 12:00:00 AM"
"10/17/2011 12:00:00 AM","73","7/19/2011 12:00:00 AM","27900.00","Sold","22000.00","9/30/2011 12:00:00 AM"
"3/1/2012 12:00:00 AM","28","2/2/2012 12:00:00 AM","29900.00","Sold","22000.00","3/1/2012 12:00:00 AM"
"12/26/2011 12:00:00 AM","8","11/30/2011 12:00:00 AM","18000.00","Sold","22050.00","12/9/2011 12:00:00 AM"
"1/30/2012 12:00:00 AM","33","12/21/2011 12:00:00 AM","26500.00","Sold","23000.00","1/23/2012 12:00:00 AM"
"9/27/2011 12:00:00 AM","10","8/15/2011 12:00:00 AM","20000.00","Sold","23800.00","8/29/2011 12:00:00 AM"
"5/9/2012 12:00:00 AM","32","3/1/2012 12:00:00 AM","26500.00","Sold","25000.00","4/16/2012 12:00:00 AM"
"5/25/2012 12:00:00 AM","25","3/23/2012 12:00:00 AM","23000.00","Sold","25000.00","4/17/2012 12:00:00 AM"
"9/30/2011 12:00:00 AM","22","8/22/2011 12:00:00 AM","29900.00","Sold","25500.00","9/13/2011 12:00:00 AM"
"5/18/2012 12:00:00 AM","11","4/13/2012 12:00:00 AM","26000.00","Sold","26000.00","4/25/2012 12:00:00 AM"
"11/17/2011 12:00:00 AM","70","8/29/2011 12:00:00 AM","29900.00","Sold","26500.00","11/8/2011 12:00:00 AM"
"9/21/2011 12:00:00 AM","7","5/11/2011 12:00:00 AM","27500.00","Sold","27500.00","7/21/2011 12:00:00 AM"
"9/7/2011 12:00:00 AM","9","8/10/2011 12:00:00 AM","27500.00","Sold","27500.00","8/19/2011 12:00:00 AM"
"5/8/2012 12:00:00 AM","35","2/3/2012 12:00:00 AM","27900.00","Sold","27900.00","3/8/2012 12:00:00 AM"
"12/16/2011 12:00:00 AM","20","10/4/2011 12:00:00 AM","28000.00","Sold","28000.00","11/30/2011 12:00:00 AM"
