"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"St Ann","MO","Elsa","3681","63074","66","0","Full","1.00","322","St Louis","Central-Electric","322","Cash","0","Gas","GSTL","7110.00","","Private","3500.00","1/13/2012 12:00:00 AM","3500.00","Cash, Conventional, FHA","Sold","2/9/2012 4:08:58 PM","2.00","2/12/2011 12:00:00 AM"
"St Louis","MO","Marshall","3353","63114","102","","Full","3.00","8","St Louis","Central-Electric","8","Cash","1","Gas","GSTL","7900.00","","Owner by Contract","7500.00","5/25/2012 12:00:00 AM","7500.00","Cash","Sold","5/25/2012 3:59:21 PM","3.00","5/9/2012 12:00:00 AM"
"St John","MO","Susan","8717","63114","73","0","Full","1.00","57","St Louis","1 Window/Wall","57","Cash","0","Other","GSTL","30000.00","","Private","9000.00","8/29/2011 12:00:00 AM","9000.00","Conventional","Sold","9/27/2011 12:00:00 AM","2.00","6/29/2011 12:00:00 AM"
"St Louis","MO","Betty Lee","8612","63114","83","","None","1.00","18","St Louis","None","18","Cash","0","Gas","GSTL","9000.00","","Government","9000.00","5/25/2012 12:00:00 AM","9000.00","Cash","Sold","5/25/2012 3:06:55 PM","2.00","4/16/2012 12:00:00 AM"
"St Louis","MO","Mckibbon","3331","63114","73","0","Full","1.00","91","St Louis","Other","91","Cash","1","Gas","GSTL","14900.00","","Bank","9250.00","12/20/2011 12:00:00 AM","9250.00","Cash, Conventional","Sold","12/27/2011 12:00:00 AM","2.00","8/24/2011 12:00:00 AM"
"St Louis","MO","Betty Lee","8605","63114","85","","Full","1.00","61","St Louis","Central-Electric","61","Cash","0","Gas","GSTL","9900.00","","Government","9900.00","5/10/2012 12:00:00 AM","9900.00","Cash, Conventional","Sold","5/10/2012 3:25:38 PM","2.00","2/7/2012 12:00:00 AM"
"Woodson Terrace","MO","Corregidor","9511","63134","69","0","Full","1.00","82","St Louis","Central-Electric","82","Cash","1","Gas","GSTL","41250.00","","Government","10000.00","9/26/2011 12:00:00 AM","10000.00","Cash, Conventional","Sold","9/28/2011 12:00:00 AM","2.00","6/29/2011 12:00:00 AM"
"Overland","MO","Brown","3532","63114","91","0","Full","1.00","165","St Louis","Other","141","Cash","0","Gas","GSTL","18900.00","","Bank","10500.00","8/19/2011 12:00:00 AM","10500.00","Cash, Conventional","Sold","8/24/2011 12:00:00 AM","3.00","2/10/2011 12:00:00 AM"
"St Louis","MO","Marshall","3309","63114","84","0","Concrete Block","1.00","14","St Louis","Other","14","Cash","1","Gas","GSTL","12500.00","","Bank","11000.00","8/22/2011 12:00:00 AM","11000.00","Cash","Sold","8/23/2011 12:00:00 AM","2.00","7/8/2011 12:00:00 AM"
"St John","MO","BETTY LEE","8609","63114","86","0","Full","1.00","407","St Louis","Other","9","Cash","0","Other","GSTL","12900.00","","Bank","11000.00","1/11/2012 12:00:00 AM","11000.00","Cash, Conventional","Sold","1/16/2012 1:41:23 PM","2.00","11/29/2011 12:00:00 AM"
