"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"1/13/2012 12:00:00 AM","322","2/12/2011 12:00:00 AM","7110.00","Sold","3500.00","12/16/2011 12:00:00 AM"
"5/25/2012 12:00:00 AM","8","5/9/2012 12:00:00 AM","7900.00","Sold","7500.00","5/18/2012 12:00:00 AM"
"8/29/2011 12:00:00 AM","57","6/29/2011 12:00:00 AM","30000.00","Sold","9000.00","8/26/2011 12:00:00 AM"
"5/25/2012 12:00:00 AM","18","4/16/2012 12:00:00 AM","9000.00","Sold","9000.00","5/4/2012 12:00:00 AM"
"12/20/2011 12:00:00 AM","91","8/24/2011 12:00:00 AM","14900.00","Sold","9250.00","11/23/2011 12:00:00 AM"
"5/10/2012 12:00:00 AM","61","2/7/2012 12:00:00 AM","9900.00","Sold","9900.00","4/19/2012 12:00:00 AM"
"9/26/2011 12:00:00 AM","82","6/29/2011 12:00:00 AM","41250.00","Sold","10000.00","9/25/2011 12:00:00 AM"
"8/19/2011 12:00:00 AM","141","2/10/2011 12:00:00 AM","18900.00","Sold","10500.00","7/5/2011 12:00:00 AM"
"8/22/2011 12:00:00 AM","14","7/8/2011 12:00:00 AM","12500.00","Sold","11000.00","7/25/2011 12:00:00 AM"
"1/11/2012 12:00:00 AM","9","11/29/2011 12:00:00 AM","12900.00","Sold","11000.00","12/9/2011 12:00:00 AM"
"4/11/2012 12:00:00 AM","6","1/23/2012 12:00:00 AM","11500.00","Sold","11500.00","1/30/2012 12:00:00 AM"
"5/14/2012 12:00:00 AM","5","4/23/2012 12:00:00 AM","14500.00","Sold","11500.00","4/28/2012 12:00:00 AM"
"8/19/2011 12:00:00 AM","78","3/7/2011 12:00:00 AM","12000.00","Sold","12000.00","5/26/2011 12:00:00 AM"
"10/19/2011 12:00:00 AM","38","8/5/2011 12:00:00 AM","12500.00","Sold","12500.00","9/16/2011 12:00:00 AM"
"11/29/2011 12:00:00 AM","5","11/10/2011 12:00:00 AM","14900.00","Sold","12500.00","11/15/2011 12:00:00 AM"
"5/25/2012 12:00:00 AM","8","4/17/2012 12:00:00 AM","6000.00","Sold","15000.00","4/25/2012 12:00:00 AM"
"5/7/2012 12:00:00 AM","8","2/15/2012 12:00:00 AM","13000.00","Sold","15007.00","2/23/2012 12:00:00 AM"
"7/28/2011 12:00:00 AM","47","5/18/2011 12:00:00 AM","22500.00","Sold","15500.00","7/6/2011 12:00:00 AM"
"12/7/2011 12:00:00 AM","19","10/13/2011 12:00:00 AM","15500.00","Sold","15500.00","11/2/2011 12:00:00 AM"
"7/8/2011 12:00:00 AM","116","2/10/2011 12:00:00 AM","20000.00","Sold","16000.00","6/7/2011 12:00:00 AM"
"3/13/2012 12:00:00 AM","218","6/19/2011 12:00:00 AM","19900.00","Sold","16000.00","1/31/2012 12:00:00 AM"
"1/9/2012 12:00:00 AM","52","10/7/2011 12:00:00 AM","16900.00","Sold","16000.00","12/9/2011 12:00:00 AM"
"6/20/2012 12:00:00 AM","91","2/23/2012 12:00:00 AM","17500.00","Sold","16000.00","5/30/2012 12:00:00 AM"
"11/9/2011 12:00:00 AM","12","7/27/2011 12:00:00 AM","17300.00","Sold","16400.00","8/8/2011 12:00:00 AM"
"4/17/2012 12:00:00 AM","11","3/7/2012 12:00:00 AM","17200.00","Sold","16500.00","3/18/2012 12:00:00 AM"
"5/10/2012 12:00:00 AM","102","1/5/2012 12:00:00 AM","14900.00","Sold","16600.00","4/16/2012 12:00:00 AM"
"7/13/2011 12:00:00 AM","88","3/24/2011 12:00:00 AM","18000.00","Sold","16700.00","6/21/2011 12:00:00 AM"
"10/18/2011 12:00:00 AM","186","12/15/2010 12:00:00 AM","18000.00","Sold","17050.00","7/6/2011 12:00:00 AM"
