"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"10/5/2011 12:00:00 AM","5","9/12/2011 12:00:00 AM","16500.00","Sold","16500.00","9/17/2011 12:00:00 AM"
"10/21/2011 12:00:00 AM","40","9/2/2011 12:00:00 AM","19900.00","Sold","18000.00","10/12/2011 12:00:00 AM"
"8/3/2011 12:00:00 AM","3","7/13/2011 12:00:00 AM","20300.00","Sold","19800.00","7/19/2011 12:00:00 AM"
"12/23/2011 12:00:00 AM","34","10/12/2011 12:00:00 AM","20000.00","Sold","20000.00","11/29/2011 12:00:00 AM"
"8/31/2011 12:00:00 AM","145","4/6/2011 12:00:00 AM","25900.00","Sold","23404.00","8/30/2011 12:00:00 AM"
"5/15/2012 12:00:00 AM","116","1/14/2012 12:00:00 AM","35000.00","Sold","32125.00","5/14/2012 12:00:00 AM"
"8/22/2011 12:00:00 AM","26","7/13/2011 12:00:00 AM","25000.00","Sold","32500.00","8/8/2011 12:00:00 AM"
"8/1/2011 12:00:00 AM","102","4/11/2011 12:00:00 AM","59900.00","Sold","50000.00","7/22/2011 12:00:00 AM"
"4/19/2012 12:00:00 AM","144","10/24/2011 12:00:00 AM","59900.00","Sold","59900.00","3/16/2012 12:00:00 AM"
"3/27/2012 12:00:00 AM","32","1/30/2012 12:00:00 AM","79900.00","Sold","76000.00","3/1/2012 12:00:00 AM"
"5/11/2012 12:00:00 AM","22","3/13/2012 12:00:00 AM","90000.00","Sold","90000.00","4/5/2012 12:00:00 AM"
"8/15/2011 12:00:00 AM","40","5/31/2011 12:00:00 AM","5000.00","Sold","1500.00","7/11/2011 12:00:00 AM"
"5/30/2012 12:00:00 AM","75","2/16/2012 12:00:00 AM","4900.00","Sold","2500.00","5/15/2012 12:00:00 AM"
"12/30/2011 12:00:00 AM","115","8/22/2011 12:00:00 AM","9900.00","Sold","3000.00","12/15/2011 12:00:00 AM"
"1/20/2012 12:00:00 AM","27","12/15/2011 12:00:00 AM","3500.00","Sold","3500.00","1/11/2012 12:00:00 AM"
"4/4/2012 12:00:00 AM","145","10/21/2011 12:00:00 AM","5600.00","Sold","3855.00","3/13/2012 12:00:00 AM"
"7/29/2011 12:00:00 AM","35","6/9/2011 12:00:00 AM","5000.00","Sold","4000.00","7/15/2011 12:00:00 AM"
"12/30/2011 12:00:00 AM","221","5/21/2011 12:00:00 AM","5000.00","Sold","5000.00","12/30/2011 12:00:00 AM"
"10/14/2011 12:00:00 AM","18","6/23/2011 12:00:00 AM","6200.00","Sold","7800.00","8/26/2011 12:00:00 AM"
"5/31/2012 12:00:00 AM","65","3/19/2012 12:00:00 AM","7500.00","Sold","7850.00","5/22/2012 12:00:00 AM"
"12/16/2011 12:00:00 AM","219","2/9/2011 12:00:00 AM","10000.00","Sold","8500.00","9/19/2011 12:00:00 AM"
"4/2/2012 12:00:00 AM","145","10/4/2011 12:00:00 AM","15000.00","Sold","8500.00","2/29/2012 12:00:00 AM"
"10/14/2011 12:00:00 AM","21","8/9/2011 12:00:00 AM","9900.00","Sold","9500.00","8/30/2011 12:00:00 AM"
"5/1/2012 12:00:00 AM","15","3/14/2012 12:00:00 AM","11054.00","Sold","9750.00","3/29/2012 12:00:00 AM"
"11/30/2011 12:00:00 AM","70","9/20/2011 12:00:00 AM","25000.00","Sold","10000.00","11/30/2011 12:00:00 AM"
"5/24/2012 12:00:00 AM","94","2/5/2012 12:00:00 AM","13500.00","Sold","10000.00","5/9/2012 12:00:00 AM"
"4/17/2012 12:00:00 AM","36","3/14/2012 12:00:00 AM","12141.00","Sold","10000.00","4/16/2012 12:00:00 AM"
"9/9/2011 12:00:00 AM","53","7/6/2011 12:00:00 AM","30000.00","Sold","11000.00","8/30/2011 12:00:00 AM"
