"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"","30","6/8/2012 12:00:00 AM","125000.00","Active","",""
"","2","5/19/2012 12:00:00 AM","129500.00","Active","",""
"","48","5/21/2012 12:00:00 AM","129900.00","Active","",""
"","102","3/28/2012 12:00:00 AM","135000.00","Active","",""
"","17","6/20/2012 12:00:00 AM","139900.00","Active","",""
"","27","6/9/2012 12:00:00 AM","145000.00","Active","",""
"","75","4/22/2012 12:00:00 AM","159900.00","Active","",""
"","73","4/26/2012 12:00:00 AM","159900.00","Active","",""
"5/8/2012 12:00:00 AM","117","8/23/2011 12:00:00 AM","114900.00","Sold","110000.00","3/12/2012 12:00:00 AM"
"7/28/2011 12:00:00 AM","763","6/15/2009 12:00:00 AM","114900.00","Sold","110320.00","7/28/2011 12:00:00 AM"
"3/30/2012 12:00:00 AM","117","11/20/2011 12:00:00 AM","115900.00","Sold","111500.00","2/16/2012 12:00:00 AM"
"9/23/2011 12:00:00 AM","324","9/29/2010 12:00:00 AM","123900.00","Sold","112000.00","8/28/2011 12:00:00 AM"
"8/30/2011 12:00:00 AM","168","3/3/2011 12:00:00 AM","122000.00","Sold","112000.00","8/18/2011 12:00:00 AM"
"12/16/2011 12:00:00 AM","116","8/22/2011 12:00:00 AM","114900.00","Sold","115500.00","12/16/2011 12:00:00 AM"
"6/22/2012 12:00:00 AM","136","2/7/2012 12:00:00 AM","127900.00","Sold","117500.00","6/22/2012 12:00:00 AM"
"8/26/2011 12:00:00 AM","126","3/1/2011 12:00:00 AM","119900.00","Sold","119900.00","7/18/2011 12:00:00 AM"
"12/13/2011 12:00:00 AM","15","8/8/2011 12:00:00 AM","129900.00","Sold","124900.00","11/9/2011 12:00:00 AM"
"2/28/2012 12:00:00 AM","144","10/7/2011 12:00:00 AM","129500.00","Sold","125000.00","2/10/2012 12:00:00 AM"
"4/25/2012 12:00:00 AM","22","3/16/2012 12:00:00 AM","134900.00","Sold","125000.00","3/29/2012 12:00:00 AM"
"3/22/2012 12:00:00 AM","81","1/4/2012 12:00:00 AM","129900.00","Sold","126000.00","3/21/2012 12:00:00 AM"
"6/28/2012 12:00:00 AM","34","4/27/2012 12:00:00 AM","129900.00","Sold","128900.00","5/30/2012 12:00:00 AM"
"12/29/2011 12:00:00 AM","90","8/18/2011 12:00:00 AM","137900.00","Sold","130000.00","11/16/2011 12:00:00 AM"
"6/18/2012 12:00:00 AM","62","3/29/2012 12:00:00 AM","139900.00","Sold","138000.00","5/18/2012 12:00:00 AM"
"5/23/2012 12:00:00 AM","30","3/27/2012 12:00:00 AM","144900.00","Sold","140000.00","4/20/2012 12:00:00 AM"
"5/7/2012 12:00:00 AM","162","11/28/2011 12:00:00 AM","109900.00","Sold","98000.00","4/6/2012 12:00:00 AM"
"9/27/2011 12:00:00 AM","46","7/7/2011 12:00:00 AM","118000.00","Sold","102500.00","8/23/2011 12:00:00 AM"
"1/20/2012 12:00:00 AM","287","4/15/2011 12:00:00 AM","112900.00","Sold","112000.00","1/19/2012 12:00:00 AM"
"9/9/2011 12:00:00 AM","62","5/22/2011 12:00:00 AM","129900.00","Sold","117000.00","9/1/2011 12:00:00 AM"
"8/26/2011 12:00:00 AM","118","4/28/2011 12:00:00 AM","139900.00","Sold","125000.00","8/26/2011 12:00:00 AM"
"4/30/2012 12:00:00 AM","175","10/12/2011 12:00:00 AM","134900.00","Sold","128000.00","4/6/2012 12:00:00 AM"
"4/23/2012 12:00:00 AM","14","3/5/2012 12:00:00 AM","120000.00","Sold","110000.00","3/17/2012 12:00:00 AM"
