"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"St Louis","MO","Philo","8501","63123","77","","Full","1.00","8","St Louis","Central-Electric","8","Cash","0","Gas","GSTL","30000.00","","Owner by Contract","28000.00","6/13/2012 12:00:00 AM","28000.00","Cash","Sold","6/16/2012 12:09:53 AM","2.00","5/16/2012 12:00:00 AM"
"St Louis","MO","Ivy","8819","63123","61","0","None, Slab","1.00","5","St Louis","Central-Electric","5","Cash","0","Gas","GSTL","39900.00","","Bank","32000.00","11/30/2011 12:00:00 AM","32000.00","Cash, Conventional, FHA, Lease Purchase, Owner May Finance","Sold","12/2/2011 12:00:00 AM","2.00","10/30/2011 12:00:00 AM"
"St Louis","MO","Welmering","5700","63123","73","0","Partial","1.00","0","St Louis","None","0","Cash","0","Gas","GSTL","33000.00","","Private","32000.00","6/6/2012 12:00:00 AM","32000.00","Cash","Sold","6/7/2012 11:15:36 AM","2.00","6/5/2012 12:00:00 AM"
"St Louis","MO","Ivy","8805","63123","73","0","Full, Partially Finished, Rec/Family Area, Sleeping Area","2.00","141","St Louis","Central-Electric","141","FHA","1","Gas","GSTL","39900.00","","Bank","35000.00","2/9/2012 12:00:00 AM","35000.00","Cash, Conventional, Specl Fincg Call Agt","Sold","2/11/2012 9:01:51 AM","2.00","6/2/2011 12:00:00 AM"
"St Louis","MO","Mathilda","8620","63123","71","0","None","1.00","51","St Louis","Central-Electric","51","Conventional","1","Gas","GSTL","40500.00","","Government","36925.00","10/7/2011 12:00:00 AM","36925.00","Cash, Conventional","Sold","10/12/2011 12:00:00 AM","2.00","4/1/2011 12:00:00 AM"
"St Louis","MO","Weber","6211","63123","70","0","Concrete Block, Full","1.00","15","St Louis","Central-Electric","15","Conventional","0","Gas","GSTL","50000.00","","Private","40000.00","12/19/2011 12:00:00 AM","40000.00","Cash, Conventional","Sold","12/19/2011 12:00:00 AM","2.00","11/14/2011 12:00:00 AM"
"St Louis","MO","Vasel","8557","63123","50","0","Full","2.00","8","St Louis","Central-Electric","8","Cash","0","Gas","GSTL","40900.00","","Bank","40500.00","2/29/2012 12:00:00 AM","40500.00","Cash, Conventional","Sold","3/1/2012 10:54:40 AM","3.00","12/29/2011 12:00:00 AM"
"St Louis","MO","Brenda","9414","63123","69","0","Full, Walk-Out","1.00","326","St Louis","Central-Electric","326","Cash","0","Electric","GSTL","50000.00","","Private","43000.00","2/2/2012 12:00:00 AM","43000.00","Cash, Conventional","Sold","2/2/2012 3:30:22 PM","1.00","8/13/2010 12:00:00 AM"
"St Louis","MO","Vita","6308","63123","58","0","Full, Partially Finished, Rec/Family Area","1.00","118","St Louis","Central-Electric","118","Conventional","0","Gas","GSTL","53200.00","","Government","46000.00","3/16/2012 12:00:00 AM","46000.00","Cash, Conventional","Sold","3/23/2012 4:11:04 PM","2.00","10/1/2011 12:00:00 AM"
"St Louis","MO","Niles","9201","63123","50","0","Full, Partially Finished","1.00","18","St Louis","Central-Electric","18","Cash","0","Gas","GSTL","55000.00","","Bank","55500.00","1/20/2012 12:00:00 AM","55500.00","Cash, Conventional, Other","Sold","2/2/2012 12:16:00 PM","2.00","12/11/2011 12:00:00 AM"
"St Louis","MO","Pilot","9039","63123","63","0","Full","1.00","90","St Louis","Central-Electric","90","Conventional","1","Gas","GSTL","62000.00","","Government","58270.00","2/2/2012 12:00:00 AM","58270.00","Cash, Conventional, FHA","Sold","2/7/2012 11:15:11 AM","2.00","11/4/2011 12:00:00 AM"
"Affton","MO","Raywood","6414","63123","60","0","Full, Walk-Out","1.00","9","St Louis","Ceiling Fan, Central-Electric","9","FHA","1","Gas","GSTL","60500.00","","Government","62010.00","1/30/2012 12:00:00 AM","62010.00","Cash, Conventional, FHA","Sold","2/2/2012 2:53:36 PM","2.00","11/8/2011 12:00:00 AM"
"St Louis","MO","Affton","9925","63123","70","","Full","2.00","136","St Louis","Central-Electric","37","Cash","2","Gas","GSTL","74900.00","","Bank","65135.00","6/25/2012 12:00:00 AM","65135.00","Cash, Conventional","Sold","6/27/2012 4:25:27 PM","3.00","4/5/2012 12:00:00 AM"
"Affton","MO","Kathleen","8517","63123","62","0","Full","1.00","11","St Louis","Central-Electric, Central-Gas","11","Conventional","1","Gas","GSTL","64900.00","","Bank","65909.00","12/29/2011 12:00:00 AM","65909.00","Cash","Sold","12/30/2011 12:00:00 AM","2.00","11/22/2011 12:00:00 AM"
