"Selling_Date","DOM","Listing_Date","Listing_Price","Status","Selling_Price","Pending_Date" 
"6/13/2012 12:00:00 AM","8","5/16/2012 12:00:00 AM","30000.00","Sold","28000.00","5/25/2012 12:00:00 AM"
"11/30/2011 12:00:00 AM","5","10/30/2011 12:00:00 AM","39900.00","Sold","32000.00","11/4/2011 12:00:00 AM"
"6/6/2012 12:00:00 AM","0","6/5/2012 12:00:00 AM","33000.00","Sold","32000.00","6/5/2012 12:00:00 AM"
"2/9/2012 12:00:00 AM","141","6/2/2011 12:00:00 AM","39900.00","Sold","35000.00","12/2/2011 12:00:00 AM"
"10/7/2011 12:00:00 AM","51","4/1/2011 12:00:00 AM","40500.00","Sold","36925.00","8/18/2011 12:00:00 AM"
"12/19/2011 12:00:00 AM","15","11/14/2011 12:00:00 AM","50000.00","Sold","40000.00","11/29/2011 12:00:00 AM"
"2/29/2012 12:00:00 AM","8","12/29/2011 12:00:00 AM","40900.00","Sold","40500.00","2/17/2012 12:00:00 AM"
"2/2/2012 12:00:00 AM","326","8/13/2010 12:00:00 AM","50000.00","Sold","43000.00","1/24/2012 12:00:00 AM"
"3/16/2012 12:00:00 AM","118","10/1/2011 12:00:00 AM","53200.00","Sold","46000.00","1/27/2012 12:00:00 AM"
"1/20/2012 12:00:00 AM","18","12/11/2011 12:00:00 AM","55000.00","Sold","55500.00","12/30/2011 12:00:00 AM"
"2/2/2012 12:00:00 AM","90","11/4/2011 12:00:00 AM","62000.00","Sold","58270.00","11/11/2011 12:00:00 AM"
"1/30/2012 12:00:00 AM","9","11/8/2011 12:00:00 AM","60500.00","Sold","62010.00","11/18/2011 12:00:00 AM"
"6/25/2012 12:00:00 AM","37","4/5/2012 12:00:00 AM","74900.00","Sold","65135.00","5/12/2012 12:00:00 AM"
"12/29/2011 12:00:00 AM","11","11/22/2011 12:00:00 AM","64900.00","Sold","65909.00","12/3/2011 12:00:00 AM"
"3/9/2012 12:00:00 AM","43","11/17/2011 12:00:00 AM","67900.00","Sold","67900.00","2/1/2012 12:00:00 AM"
"5/15/2012 12:00:00 AM","38","2/10/2011 12:00:00 AM","70000.00","Sold","68000.00","3/28/2012 12:00:00 AM"
"10/31/2011 12:00:00 AM","183","2/28/2011 12:00:00 AM","69900.00","Sold","68000.00","10/10/2011 12:00:00 AM"
"10/28/2011 12:00:00 AM","84","5/19/2011 12:00:00 AM","69800.00","Sold","68500.00","9/7/2011 12:00:00 AM"
"8/26/2011 12:00:00 AM","39","7/15/2011 12:00:00 AM","80000.00","Sold","70000.00","8/23/2011 12:00:00 AM"
"3/2/2012 12:00:00 AM","101","10/9/2011 12:00:00 AM","92000.00","Sold","70000.00","1/19/2012 12:00:00 AM"
"5/3/2012 12:00:00 AM","63","1/17/2012 12:00:00 AM","82900.00","Sold","70000.00","3/20/2012 12:00:00 AM"
"12/22/2011 12:00:00 AM","168","3/21/2011 12:00:00 AM","105000.00","Sold","75000.00","9/7/2011 12:00:00 AM"
"1/31/2012 12:00:00 AM","105","5/12/2011 12:00:00 AM","77000.00","Sold","75000.00","12/1/2011 12:00:00 AM"
"10/20/2011 12:00:00 AM","81","7/13/2011 12:00:00 AM","75000.00","Sold","75000.00","10/2/2011 12:00:00 AM"
"5/1/2012 12:00:00 AM","5","3/16/2012 12:00:00 AM","65000.00","Sold","75000.00","3/21/2012 12:00:00 AM"
"1/10/2012 12:00:00 AM","108","8/16/2011 12:00:00 AM","84900.00","Sold","77500.00","12/9/2011 12:00:00 AM"
"8/17/2011 12:00:00 AM","224","12/30/2010 12:00:00 AM","89900.00","Sold","80000.00","8/15/2011 12:00:00 AM"
"11/30/2011 12:00:00 AM","126","6/30/2011 12:00:00 AM","81000.00","Sold","80000.00","11/22/2011 12:00:00 AM"
"2/24/2012 12:00:00 AM","79","12/14/2011 12:00:00 AM","81000.00","Sold","80000.00","2/5/2012 12:00:00 AM"
"6/7/2012 12:00:00 AM","56","3/31/2012 12:00:00 AM","88900.00","Sold","81000.00","5/23/2012 12:00:00 AM"
"1/6/2012 12:00:00 AM","415","10/28/2010 12:00:00 AM","85000.00","Sold","83000.00","12/19/2011 12:00:00 AM"
"7/21/2011 12:00:00 AM","37","4/1/2011 12:00:00 AM","85000.00","Sold","85001.00","5/11/2011 12:00:00 AM"
"4/6/2012 12:00:00 AM","89","11/18/2011 12:00:00 AM","88900.00","Sold","86900.00","2/15/2012 12:00:00 AM"
"7/29/2011 12:00:00 AM","140","3/8/2011 12:00:00 AM","94500.00","Sold","87000.00","7/26/2011 12:00:00 AM"
"9/18/2011 12:00:00 AM","87","6/23/2011 12:00:00 AM","94900.00","Sold","89900.00","9/18/2011 12:00:00 AM"
"11/4/2011 12:00:00 AM","3","10/12/2011 12:00:00 AM","89900.00","Sold","89900.00","10/17/2011 12:00:00 AM"
"9/29/2011 12:00:00 AM","201","2/25/2011 12:00:00 AM","93500.00","Sold","90500.00","9/16/2011 12:00:00 AM"
"2/3/2012 12:00:00 AM","39","11/22/2011 12:00:00 AM","105000.00","Sold","92500.00","1/3/2012 12:00:00 AM"
"6/14/2012 12:00:00 AM","116","2/22/2012 12:00:00 AM","92500.00","Sold","92500.00","6/14/2012 12:00:00 AM"
"2/24/2012 12:00:00 AM","145","8/22/2011 12:00:00 AM","100000.00","Sold","93000.00","1/30/2012 12:00:00 AM"
"4/30/2012 12:00:00 AM","215","8/29/2011 12:00:00 AM","99900.00","Sold","95000.00","3/31/2012 12:00:00 AM"
"2/14/2012 12:00:00 AM","0","1/11/2012 12:00:00 AM","93000.00","Sold","95300.00","1/12/2012 12:00:00 AM"
"2/16/2012 12:00:00 AM","193","7/27/2011 12:00:00 AM","84900.00","Sold","95500.00","9/30/2011 12:00:00 AM"
"8/31/2011 12:00:00 AM","394","6/19/2010 12:00:00 AM","104900.00","Sold","96000.00","7/25/2011 12:00:00 AM"
"6/27/2012 12:00:00 AM","21","5/15/2012 12:00:00 AM","99900.00","Sold","96000.00","6/5/2012 12:00:00 AM"
"10/27/2011 12:00:00 AM","125","6/10/2011 12:00:00 AM","99995.00","Sold","96950.00","10/13/2011 12:00:00 AM"
"8/1/2011 12:00:00 AM","111","3/10/2011 12:00:00 AM","114500.00","Sold","97000.00","6/30/2011 12:00:00 AM"
"6/8/2012 12:00:00 AM","5","4/27/2012 12:00:00 AM","99900.00","Sold","99900.00","5/1/2012 12:00:00 AM"
"7/28/2011 12:00:00 AM","298","9/27/2010 12:00:00 AM","109000.00","Sold","100000.00","7/25/2011 12:00:00 AM"
"2/22/2012 12:00:00 AM","5","12/7/2011 12:00:00 AM","104900.00","Sold","100000.00","12/12/2011 12:00:00 AM"
"2/23/2012 12:00:00 AM","30","1/7/2012 12:00:00 AM","115900.00","Sold","101000.00","2/5/2012 12:00:00 AM"
"6/6/2012 12:00:00 AM","41","2/27/2012 12:00:00 AM","109000.00","Sold","102000.00","4/15/2012 12:00:00 AM"
"1/4/2012 12:00:00 AM","15","11/24/2011 12:00:00 AM","104900.00","Sold","104900.00","12/9/2011 12:00:00 AM"
"8/3/2011 12:00:00 AM","49","5/6/2011 12:00:00 AM","114900.00","Sold","105000.00","6/24/2011 12:00:00 AM"
"2/15/2012 12:00:00 AM","4","1/9/2012 12:00:00 AM","109900.00","Sold","106000.00","1/11/2012 12:00:00 AM"
"1/31/2012 12:00:00 AM","228","5/4/2011 12:00:00 AM","109900.00","Sold","107000.00","12/18/2011 12:00:00 AM"
"1/25/2012 12:00:00 AM","108","9/24/2011 12:00:00 AM","109900.00","Sold","108000.00","1/25/2012 12:00:00 AM"
"3/30/2012 12:00:00 AM","31","2/25/2012 12:00:00 AM","109900.00","Sold","109900.00","3/28/2012 12:00:00 AM"
"5/8/2012 12:00:00 AM","117","8/23/2011 12:00:00 AM","114900.00","Sold","110000.00","3/12/2012 12:00:00 AM"
"7/28/2011 12:00:00 AM","763","6/15/2009 12:00:00 AM","114900.00","Sold","110320.00","7/28/2011 12:00:00 AM"
"11/30/2011 12:00:00 AM","106","7/20/2011 12:00:00 AM","117000.00","Sold","111000.00","11/18/2011 12:00:00 AM"
"3/30/2012 12:00:00 AM","117","11/20/2011 12:00:00 AM","115900.00","Sold","111500.00","2/16/2012 12:00:00 AM"
"9/23/2011 12:00:00 AM","324","9/29/2010 12:00:00 AM","123900.00","Sold","112000.00","8/28/2011 12:00:00 AM"
"8/30/2011 12:00:00 AM","168","3/3/2011 12:00:00 AM","122000.00","Sold","112000.00","8/18/2011 12:00:00 AM"
"9/2/2011 12:00:00 AM","79","6/7/2011 12:00:00 AM","114500.00","Sold","113375.00","8/25/2011 12:00:00 AM"
"11/15/2011 12:00:00 AM","109","7/29/2011 12:00:00 AM","114900.00","Sold","114900.00","11/15/2011 12:00:00 AM"
"12/16/2011 12:00:00 AM","116","8/22/2011 12:00:00 AM","114900.00","Sold","115500.00","12/16/2011 12:00:00 AM"
"2/21/2012 12:00:00 AM","50","12/10/2011 12:00:00 AM","122400.00","Sold","116500.00","2/21/2012 12:00:00 AM"
"7/22/2011 12:00:00 AM","75","5/6/2011 12:00:00 AM","119900.00","Sold","117000.00","7/21/2011 12:00:00 AM"
"12/14/2011 12:00:00 AM","17","11/10/2011 12:00:00 AM","119900.00","Sold","117000.00","11/27/2011 12:00:00 AM"
"6/22/2012 12:00:00 AM","136","2/7/2012 12:00:00 AM","127900.00","Sold","117500.00","6/22/2012 12:00:00 AM"
"2/23/2012 12:00:00 AM","127","9/26/2011 12:00:00 AM","129000.00","Sold","118000.00","1/28/2012 12:00:00 AM"
"5/17/2012 12:00:00 AM","52","3/7/2012 12:00:00 AM","129900.00","Sold","119300.00","4/16/2012 12:00:00 AM"
"8/26/2011 12:00:00 AM","126","3/1/2011 12:00:00 AM","119900.00","Sold","119900.00","7/18/2011 12:00:00 AM"
"6/4/2012 12:00:00 AM","54","4/12/2012 12:00:00 AM","125000.00","Sold","120000.00","6/1/2012 12:00:00 AM"
"4/6/2012 12:00:00 AM","59","2/10/2012 12:00:00 AM","124900.00","Sold","120950.00","4/4/2012 12:00:00 AM"
"1/3/2012 12:00:00 AM","26","12/4/2011 12:00:00 AM","125000.00","Sold","121000.00","12/30/2011 12:00:00 AM"
"10/27/2011 12:00:00 AM","134","5/7/2011 12:00:00 AM","129900.00","Sold","122500.00","9/18/2011 12:00:00 AM"
"4/13/2012 12:00:00 AM","260","6/16/2011 12:00:00 AM","127000.00","Sold","123000.00","3/1/2012 12:00:00 AM"
"10/25/2011 12:00:00 AM","37","8/19/2011 12:00:00 AM","127500.00","Sold","123500.00","9/25/2011 12:00:00 AM"
"5/17/2012 12:00:00 AM","2","3/29/2012 12:00:00 AM","124900.00","Sold","124000.00","3/31/2012 12:00:00 AM"
"12/13/2011 12:00:00 AM","15","8/8/2011 12:00:00 AM","129900.00","Sold","124900.00","11/9/2011 12:00:00 AM"
"2/28/2012 12:00:00 AM","67","12/13/2011 12:00:00 AM","124900.00","Sold","124900.00","2/18/2012 12:00:00 AM"
"12/9/2011 12:00:00 AM","120","8/10/2011 12:00:00 AM","134900.00","Sold","125000.00","12/8/2011 12:00:00 AM"
"11/6/2011 12:00:00 AM","45","8/19/2011 12:00:00 AM","120000.00","Sold","125000.00","10/10/2011 12:00:00 AM"
"2/28/2012 12:00:00 AM","144","10/7/2011 12:00:00 AM","129500.00","Sold","125000.00","2/10/2012 12:00:00 AM"
"11/30/2011 12:00:00 AM","5","10/18/2011 12:00:00 AM","129900.00","Sold","125000.00","10/24/2011 12:00:00 AM"
"5/29/2012 12:00:00 AM","44","2/26/2012 12:00:00 AM","129900.00","Sold","125000.00","4/25/2012 12:00:00 AM"
"4/25/2012 12:00:00 AM","22","3/16/2012 12:00:00 AM","134900.00","Sold","125000.00","3/29/2012 12:00:00 AM"
"6/28/2012 12:00:00 AM","25","5/14/2012 12:00:00 AM","124900.00","Sold","125000.00","5/30/2012 12:00:00 AM"
"3/22/2012 12:00:00 AM","81","1/4/2012 12:00:00 AM","129900.00","Sold","126000.00","3/21/2012 12:00:00 AM"
"4/2/2012 12:00:00 AM","54","1/4/2012 12:00:00 AM","129900.00","Sold","126500.00","2/27/2012 12:00:00 AM"
"5/30/2012 12:00:00 AM","67","2/19/2012 12:00:00 AM","139900.00","Sold","128000.00","5/1/2012 12:00:00 AM"
"6/28/2012 12:00:00 AM","34","4/27/2012 12:00:00 AM","129900.00","Sold","128900.00","5/30/2012 12:00:00 AM"
"12/22/2011 12:00:00 AM","103","7/20/2011 12:00:00 AM","139900.00","Sold","129000.00","10/31/2011 12:00:00 AM"
"11/30/2011 12:00:00 AM","588","4/13/2010 12:00:00 AM","135000.00","Sold","130000.00","11/28/2011 12:00:00 AM"
"12/29/2011 12:00:00 AM","90","8/18/2011 12:00:00 AM","137900.00","Sold","130000.00","11/16/2011 12:00:00 AM"
"7/19/2011 12:00:00 AM","40","5/19/2011 12:00:00 AM","132900.00","Sold","131000.00","6/28/2011 12:00:00 AM"
"8/5/2011 12:00:00 AM","32","6/16/2011 12:00:00 AM","134900.00","Sold","133500.00","7/18/2011 12:00:00 AM"
"1/30/2012 12:00:00 AM","13","12/14/2011 12:00:00 AM","133000.00","Sold","133501.00","12/27/2011 12:00:00 AM"
"6/26/2012 12:00:00 AM","44","4/24/2012 12:00:00 AM","134900.00","Sold","134900.00","5/18/2012 12:00:00 AM"
"5/24/2012 12:00:00 AM","9","3/13/2012 12:00:00 AM","139900.00","Sold","135000.00","4/18/2012 12:00:00 AM"
"9/28/2011 12:00:00 AM","48","8/4/2011 12:00:00 AM","139900.00","Sold","136000.00","9/21/2011 12:00:00 AM"
"6/18/2012 12:00:00 AM","62","3/29/2012 12:00:00 AM","139900.00","Sold","138000.00","5/18/2012 12:00:00 AM"
"7/26/2011 12:00:00 AM","124","2/14/2011 12:00:00 AM","149900.00","Sold","138001.00","6/24/2011 12:00:00 AM"
"9/2/2011 12:00:00 AM","46","6/10/2011 12:00:00 AM","144900.00","Sold","139000.00","7/26/2011 12:00:00 AM"
"5/23/2012 12:00:00 AM","30","3/27/2012 12:00:00 AM","144900.00","Sold","140000.00","4/20/2012 12:00:00 AM"
"9/14/2011 12:00:00 AM","107","5/13/2011 12:00:00 AM","154900.00","Sold","148000.00","8/29/2011 12:00:00 AM"
"6/22/2012 12:00:00 AM","52","4/30/2012 12:00:00 AM","150000.00","Sold","150000.00","5/25/2012 12:00:00 AM"
"8/18/2011 12:00:00 AM","101","2/21/2011 12:00:00 AM","153000.00","Sold","153000.00","7/2/2011 12:00:00 AM"
"3/16/2012 12:00:00 AM","42","1/29/2012 12:00:00 AM","163000.00","Sold","157500.00","3/12/2012 12:00:00 AM"
"6/25/2012 12:00:00 AM","20","4/18/2012 12:00:00 AM","159000.00","Sold","158000.00","4/28/2012 12:00:00 AM"
"5/25/2012 12:00:00 AM","3","3/17/2012 12:00:00 AM","159900.00","Sold","159900.00","4/5/2012 12:00:00 AM"
"6/7/2012 12:00:00 AM","209","11/11/2011 12:00:00 AM","170000.00","Sold","160000.00","6/7/2012 12:00:00 AM"
"10/3/2011 12:00:00 AM","120","5/6/2011 12:00:00 AM","189900.00","Sold","162000.00","9/3/2011 12:00:00 AM"
"2/29/2012 12:00:00 AM","70","12/21/2011 12:00:00 AM","159900.00","Sold","163000.00","2/29/2012 12:00:00 AM"
"6/25/2012 12:00:00 AM","296","8/1/2011 12:00:00 AM","176000.00","Sold","177000.00","6/21/2012 12:00:00 AM"
"9/15/2011 12:00:00 AM","259","2/9/2010 12:00:00 AM","189900.00","Sold","179000.00","9/7/2011 12:00:00 AM"
"2/17/2012 12:00:00 AM","30","12/20/2011 12:00:00 AM","199900.00","Sold","185000.00","1/5/2012 12:00:00 AM"
"3/20/2012 12:00:00 AM","6","2/16/2012 12:00:00 AM","185500.00","Sold","188500.00","2/22/2012 12:00:00 AM"
"5/22/2012 12:00:00 AM","0","10/24/2011 12:00:00 AM","239900.00","Sold","225000.00","11/2/2011 12:00:00 AM"
"8/4/2011 12:00:00 AM","185","12/15/2010 12:00:00 AM","230000.00","Sold","230000.00","6/20/2011 12:00:00 AM"
"7/29/2011 12:00:00 AM","87","3/15/2011 12:00:00 AM","257900.00","Sold","249900.00","6/13/2011 12:00:00 AM"
