"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"University City","MO","Vernon","6724","63130","65","0","None, Slab","1.00","33","St Louis","Central-Electric","33","Cash","0","Gas","GSTL","20000.00","","Bank","15500.00","7/18/2011 12:00:00 AM","15500.00","Cash, Conventional","Sold","7/18/2011 12:00:00 AM","2.00","4/28/2011 12:00:00 AM"
"St Louis","MO","Vernon","6805","63130","56","","Full","1.00","25","St Louis","Central-Electric","25","Cash","1","Gas","GSTL","25000.00","","Government","31000.00","5/25/2012 12:00:00 AM","31000.00","Cash, Conventional","Sold","6/8/2012 3:28:51 PM","3.00","3/19/2012 12:00:00 AM"
"St Louis","MO","Vernon","6761","63130","102","","Full, Unfinished","2.00","35","St Louis","Central-Electric","35","Cash","2","Gas","GSTL","54900.00","","Bank","52500.00","6/4/2012 12:00:00 AM","52500.00","Cash, Conventional","Sold","6/5/2012 10:15:48 AM","3.00","4/10/2012 12:00:00 AM"
"University City","MO","Vernon","6810","63130","59","0","Full","1.00","80","St Louis","Central-Electric","80","FHA","1","Gas","GSTL","59900.00","","Private","55000.00","1/19/2012 12:00:00 AM","55000.00","Cash, Conventional, FHA","Sold","1/20/2012 7:42:30 AM","2.00","11/1/2011 12:00:00 AM"
"University City","MO","Blackberry","7807","63130","60","0","Full, Poured Concrete","2.00","345","St Louis","Central-Electric","231","Cash","2","Gas","GSTL","84500.00","","Private","84500.00","7/28/2011 12:00:00 AM","84500.00","Cash, Conventional","Sold","7/28/2011 12:00:00 AM","3.00","11/11/2010 12:00:00 AM"
"St Louis","MO","Amherst","7058","63130","81","","Full","2.00","219","St Louis","Central-Electric","45","Cash","2","Gas","GSTL","149900.00","","Bank","108150.00","4/17/2012 12:00:00 AM","108150.00","Cash, Conventional","Sold","4/24/2012 8:52:58 AM","5.00","2/10/2012 12:00:00 AM"
"University City","MO","Cornell","7910","63130","57","0","Bathroom in LL, Full, Partially Finished, Rec/Family Area, Walk-Out","3.00","2","St Louis","Attic Fan, Ceiling Fan, Central-Electric","2","Conventional","1","Gas","GSTL","125000.00","","Private","132000.00","8/29/2011 12:00:00 AM","132000.00","Cash, Conventional, FHA, Government, Private, RRM/ARM, VA","Sold","8/29/2011 12:00:00 AM","3.00","7/29/2011 12:00:00 AM"
"St Louis","MO","Cornell","7251","63130","82","0","Full, Walk-Out","3.00","97","St Louis","None","97","Other","2","Gas","GSTL","139900.00","","Private","135000.00","9/30/2011 12:00:00 AM","135000.00","Cash, Conventional, FHA, Government, VA","Sold","10/4/2011 12:00:00 AM","4.00","5/10/2011 12:00:00 AM"
"University City","MO","Stanford","7211","63130","82","0","Full, Walk-Out","3.00","106","St Louis","Central-Electric","106","Cash","2","Gas","GSTL","150000.00","","Bank","135000.00","9/15/2011 12:00:00 AM","135000.00","Cash, Conventional","Sold","9/19/2011 12:00:00 AM","3.00","5/17/2011 12:00:00 AM"
"University City","MO","Waterman","7211","63130","71","0","None","3.00","117","St Louis","Central-Electric","117","Cash","0","Gas","GSTL","135000.00","","Bank","135100.00","1/9/2012 12:00:00 AM","135100.00","Cash, Conventional, Other","Sold","1/9/2012 12:00:00 AM","3.00","8/31/2011 12:00:00 AM"
"University City","MO","Amherst","7468","63130","75","0","Full","3.00","74","St Louis","Central-Electric","74","Private","2","Gas","GSTL","148000.00","","Private","141500.00","1/30/2012 12:00:00 AM","141500.00","Cash, Conventional","Sold","1/30/2012 1:57:20 PM","3.00","10/22/2011 12:00:00 AM"
"University City","MO","Hanley","415","63130","104","0","Full","3.00","231","St Louis","3 Plus Window/Wall, Ceiling Fan","123","Cash","2","Steam","GSTL","149900.00","","Private","142000.00","1/20/2012 12:00:00 AM","142000.00","Cash, Conventional","Sold","1/23/2012 12:38:28 PM","4.00","9/20/2011 12:00:00 AM"
"University City","MO","Dartmouth","6955","63130","62","0","Full, Partially Finished, Rec/Family Area, Sleeping Area","1.00","54","St Louis","Central-Electric","54","Conventional","0","Gas","GSTL","165000.00","","Private","148000.00","9/12/2011 12:00:00 AM","148000.00","Conventional, FHA","Sold","9/13/2011 12:00:00 AM","2.00","7/5/2011 12:00:00 AM"
"University City","MO","Cornell","7910","63130","57","0","Bathroom in LL, Full, Partially Finished, Rec/Family Area","3.00","54","St Louis","Attic Fan, Ceiling Fan, Central-Electric","54","Conventional","1","Gas","GSTL","178700.00","","Private","150000.00","2/7/2012 12:00:00 AM","150000.00","Cash, Conventional, FHA, Private, RRM/ARM, VA","Sold","2/7/2012 4:05:34 PM","3.00","11/25/2011 12:00:00 AM"
"St Louis","MO","Cornell","7550","63130","87","0","Full","2.00","342","St Louis","Other","55","Other","0","Other","GSTL","159900.00","","Bank","154000.00","3/22/2012 12:00:00 AM","154000.00","Cash, Conventional","Sold","3/26/2012 11:56:57 AM","3.00","12/18/2011 12:00:00 AM"
"University City","MO","Dartmouth","6909","63130","84","0","Full","1.00","97","St Louis","Central-Electric","97","Conventional","1","Gas","GSTL","159900.00","","Private","155000.00","7/14/2011 12:00:00 AM","155000.00","Conventional, FHA, VA","Sold","7/15/2011 12:00:00 AM","3.00","3/2/2011 12:00:00 AM"
"University City","MO","Stanford","7318","63130","76","0","Full, Poured Concrete","2.00","277","St Louis","2 Window/Wall","277","Other","1","Gas","GSTL","199000.00","","Private","157500.00","12/1/2011 12:00:00 AM","157500.00","Cash, Conventional","Sold","12/8/2011 12:00:00 AM","3.00","2/15/2011 12:00:00 AM"
"University City","MO","Washington","7462","63130","92","0","Full","2.00","30","St Louis","Central-Electric","30","Cash","0","Gas","GSTL","169900.00","","Private","162000.00","10/26/2011 12:00:00 AM","162000.00","Cash, Conventional, FHA","Sold","10/27/2011 12:00:00 AM","2.00","8/2/2011 12:00:00 AM"
"University City","MO","Gannon","8127","63130","73","90","Walk-Out","3.00","63","St Louis","Ceiling Fan, Central-Electric","63","Conventional","2","Gas","GSTL","189900.00","","Private","165000.00","3/23/2012 12:00:00 AM","165000.00","Cash, Conventional, RRM/ARM","Sold","3/26/2012 10:03:52 AM","3.00","1/23/2012 12:00:00 AM"
